dataset,outer_fold,role,context_id,group_id,context_start_row_id,context_end_row_id,context_row_hash,control_id,transformation,effective_positive,state,future_acceptance,stream_identity_executed
pleia,0,inner0_selection,b34e2b28d5408aaf0965,None,7568f90b970565d33e169cc2515538895694e44ff523b38bb6d951a7de38739a,5e552b414b77bcd9e224c534dd0678e8f65774b0d40e32a2334f6ab77a1f478e,6bed1b12ee566456f0e85858f26fde0ec255b8bcceebf39713fb47d429f2676d,b34e2b28d5408aaf0965:clean_identity,identity: original y and availability unchanged,False,independent historical-calibration reset and causal clean warm-up,"exact identity of inputs, bounds, alerts and released scores",False
pleia,0,inner0_selection,bc01ec4ca9123cc16bdc,None,ffea0f010f6588f57ad63ff7e207f428b76fc336eba478338d23c87a076b01c8,5fe16de547479c190ff09091b54817ad0773f057ab135bbda00b5be4412be3eb,990622d8763847f5e44471b7ef6e1ed9ac4e7e27bc7756d0025557f700a42b13,bc01ec4ca9123cc16bdc:clean_identity,identity: original y and availability unchanged,False,independent historical-calibration reset and causal clean warm-up,"exact identity of inputs, bounds, alerts and released scores",False
pleia,0,inner0_selection,67a643b22b77f63cf757,None,f108187e7ea2fa460b766872e3eceb3dd5f036cd0807a293d3132cde290eff23,8c193d11b83bd3b65d7041874ab44604456865ada58e0c12dfe54452b340a1e1,5bde8591f7fd2143867ede2fe98be5b97325b6a079c8989e030b673ed693aedd,67a643b22b77f63cf757:clean_identity,identity: original y and availability unchanged,False,independent historical-calibration reset and causal clean warm-up,"exact identity of inputs, bounds, alerts and released scores",False
pleia,0,inner0_selection,9d58db7401a7834e80a9,None,2cde267c4b42b49ac651a15b6dcf3423c03b04beb5ab9284624afe7246365580,6d87e2abb9fb05ad32ca01e88580ac962c298cc0a507f936a7e32b40308b83b1,18a6a5e8c4bb811b43fa9984c531962576817040004a391314ec671d2e33fdf9,9d58db7401a7834e80a9:clean_identity,identity: original y and availability unchanged,False,independent historical-calibration reset and causal clean warm-up,"exact identity of inputs, bounds, alerts and released scores",False
pleia,0,inner0_selection,d11a864bd0bc5102ded6,None,5024437397494f0920a91f623ff97210af24f6f5b0694d7141296592307f7ec0,e41f09dbfa5278a66ee2f77d814588c3ec0cdd469a7c7ee3b4e74e1a7043fba6,0c964fb61651b47cfa78b246d82ec057603b411531ce35424e4d6725a93497ad,d11a864bd0bc5102ded6:clean_identity,identity: original y and availability unchanged,False,independent historical-calibration reset and causal clean warm-up,"exact identity of inputs, bounds, alerts and released scores",False
pleia,0,inner0_selection,37d208f3b082de018723,None,5e2661299e804c93dcc245d6882df1f0cc2df0e4b2005c5810b25e912ac12362,6954054208f1ae0c1d3069bb023d83bd2e9143eec351bdc6507bcc4709f4b62b,469237460f3ad2d055512b3abd47d9de4b0b0c17afcdb13a891e15b61f9d5d2b,37d208f3b082de018723:clean_identity,identity: original y and availability unchanged,False,independent historical-calibration reset and causal clean warm-up,"exact identity of inputs, bounds, alerts and released scores",False
pleia,0,inner0_selection,d0104064bd20e563047c,None,9ffd0771b749d1bc7198a425750e88f74b6b4ccb22c1b1c72f7062626e487386,3263634a28134d079a1b6c249d50784710171a34d06f0909fd7785dc94c57cbc,3b96eb8be1a313af49431a4b3e260ecb81ee01a27f7483182d601fff674a0dac,d0104064bd20e563047c:clean_identity,identity: original y and availability unchanged,False,independent historical-calibration reset and causal clean warm-up,"exact identity of inputs, bounds, alerts and released scores",False
pleia,0,inner0_selection,2a76de7de7569434c69f,None,ac35940d49be562a3663ccb4e4ea55f32816a41a3d8bde645f1840965ee38a5f,74ed55e9945e0fcf19743e435b98183c58b369ea688a97c96c0da10e117d7b9e,a1cd08beca3e8c2040c9e29e4459e95400a088e80b7cdc299d13cb2c46a77262,2a76de7de7569434c69f:clean_identity,identity: original y and availability unchanged,False,independent historical-calibration reset and causal clean warm-up,"exact identity of inputs, bounds, alerts and released scores",False
pleia,0,inner0_selection,2ffbbc50251fb3d6c71c,None,2ce2f770ac9de1f73e45076bb54b3e7e103449e90eceedcbdd41894ec0af2ff9,1cdc78a7f85bbfa2578dab5d14c5d6b2cbc961f171202c1e12cc203b7fbab69a,0ef12b9245d87cbb32fc140d2838c59b6427b56022e55cb143f1cba58cf75065,2ffbbc50251fb3d6c71c:clean_identity,identity: original y and availability unchanged,False,independent historical-calibration reset and causal clean warm-up,"exact identity of inputs, bounds, alerts and released scores",False
pleia,0,inner0_selection,9f9635677f0aff2f90aa,None,c3710a3dea2e441d68673a0c42eb166c6a51bbec65810ad6b875b7d491755e7e,d57cf105055a81d92fdb175ba1e70a8082e22416ddc6a5ad4caf824e91b3f1ad,d3adbb84eb3abe45a4a21c1237880a6c1c1e6f168efff3f886bb743beb1bbfe3,9f9635677f0aff2f90aa:clean_identity,identity: original y and availability unchanged,False,independent historical-calibration reset and causal clean warm-up,"exact identity of inputs, bounds, alerts and released scores",False
pleia,0,inner0_selection,a71672c291754971d1c9,None,a5cd120a7cab0f600e49d0a3c21485362bf636a9f05121afbd13cc500a517b6b,63305b087ebab86ed356113ab9a97a14ecddacb8a71ff67c5a4ad539df71a7b9,ed4fd66e7e1aa571f521f38c65405ca762f266d248a56e84124bc8c0ec1a9390,a71672c291754971d1c9:clean_identity,identity: original y and availability unchanged,False,independent historical-calibration reset and causal clean warm-up,"exact identity of inputs, bounds, alerts and released scores",False
