building_id,site_id,primary_use,sub_primary_use,sqm,year_built,meter_type,start,end,span_days,n_valid,coverage,missing_fraction,mean,std,min,max,n_negative,n_zero,constant_fraction,reason_excluded,eligible,selected,selection_rank,selection_reason
Eagle_assembly_Benny,Eagle,Entertainment/public assembly,Athletic,4642.8,,electricity,2016-01-01 00:00:00,2017-12-31 23:00:00,730.9583333333334,17544,1.0,0.0,49.24333784199726,21.208256120124574,0.0,119.125,0,113.0,0.01801185590515276,,True,True,0.0,"eligible (span >= 300 d, coverage >= 0.95, non-constant, no negative readings, documented use) and within the top 10 by (missing_fraction asc, span desc, building_id asc) under a cap of 2 buildings per site. No forecast metric was used."
Eagle_assembly_Ian,Eagle,Entertainment/public assembly,Athletic,34376.3,,electricity,2016-01-01 00:00:00,2017-12-31 23:00:00,730.9583333333334,17544,1.0,0.0,444.2667008663931,167.82583389661576,0.0,1363.0,0,170.0,0.03169174646602827,,True,True,1.0,"eligible (span >= 300 d, coverage >= 0.95, non-constant, no negative readings, documented use) and within the top 10 by (missing_fraction asc, span desc, building_id asc) under a cap of 2 buildings per site. No forecast metric was used."
Fox_education_Henrietta,Fox,Education,College Laboratory,425.8,,electricity,2016-01-01 00:00:00,2017-12-31 23:00:00,730.9583333333334,17544,1.0,0.0,29.452928066575467,24.071462394778735,0.0,144.92,0,34.0,0.008378932968536252,,True,True,2.0,"eligible (span >= 300 d, coverage >= 0.95, non-constant, no negative readings, documented use) and within the top 10 by (missing_fraction asc, span desc, building_id asc) under a cap of 2 buildings per site. No forecast metric was used."
Hog_assembly_Colette,Hog,Entertainment/public assembly,Ice Arena,21783.5,,electricity,2016-01-01 00:00:00,2017-12-31 23:00:00,730.9583333333334,17544,1.0,0.0,360.4161639876881,174.58335426123563,81.645,1286.352,0,0.0,0.007352941176470588,,True,True,3.0,"eligible (span >= 300 d, coverage >= 0.95, non-constant, no negative readings, documented use) and within the top 10 by (missing_fraction asc, span desc, building_id asc) under a cap of 2 buildings per site. No forecast metric was used."
Hog_assembly_Dona,Hog,Entertainment/public assembly,Ice Arena,15501.4,,electricity,2016-01-01 00:00:00,2017-12-31 23:00:00,730.9583333333334,17544,1.0,0.0,293.6240260487916,90.95489476521779,86.806,645.649,0,0.0,0.007238942088463292,,True,True,4.0,"eligible (span >= 300 d, coverage >= 0.95, non-constant, no negative readings, documented use) and within the top 10 by (missing_fraction asc, span desc, building_id asc) under a cap of 2 buildings per site. No forecast metric was used."
Lamb_assembly_Bertie,Lamb,Entertainment/public assembly,Gymnasium,13908.0,1976.0,electricity,2016-01-01 00:00:00,2017-12-31 23:00:00,730.9583333333334,17544,1.0,0.0,73.78419734382125,70.91313195254655,0.0,404.6,0,18.0,0.20502735978112174,,True,True,5.0,"eligible (span >= 300 d, coverage >= 0.95, non-constant, no negative readings, documented use) and within the top 10 by (missing_fraction asc, span desc, building_id asc) under a cap of 2 buildings per site. No forecast metric was used."
Lamb_assembly_Cesar,Lamb,Entertainment/public assembly,Community Center,1422.0,1976.0,electricity,2016-01-01 00:00:00,2017-12-31 23:00:00,730.9583333333334,17544,1.0,0.0,10.162324954400367,11.977146052037334,0.0,56.0,0,46.0,0.4281235750113999,,True,True,6.0,"eligible (span >= 300 d, coverage >= 0.95, non-constant, no negative readings, documented use) and within the top 10 by (missing_fraction asc, span desc, building_id asc) under a cap of 2 buildings per site. No forecast metric was used."
Moose_education_Ricardo,Moose,Education,College Classroom,14000.0,,electricity,2016-01-01 00:00:00,2017-12-31 23:00:00,730.9583333333334,17544,1.0,0.0,308.89116764705886,57.75273221785927,202.0807,462.2393,0,0.0,0.045314637482900134,,True,True,7.0,"eligible (span >= 300 d, coverage >= 0.95, non-constant, no negative readings, documented use) and within the top 10 by (missing_fraction asc, span desc, building_id asc) under a cap of 2 buildings per site. No forecast metric was used."
Mouse_health_Estela,Mouse,Healthcare,Hospital,17193.0,1936.0,electricity,2016-01-01 00:00:00,2017-12-31 23:00:00,730.9583333333334,17544,1.0,0.0,348.32954240196085,144.40859918674565,0.0,665.0,0,1658.0,0.19288645690834474,,True,True,8.0,"eligible (span >= 300 d, coverage >= 0.95, non-constant, no negative readings, documented use) and within the top 10 by (missing_fraction asc, span desc, building_id asc) under a cap of 2 buildings per site. No forecast metric was used."
Mouse_health_Justin,Mouse,Healthcare,Hospital,17735.0,2012.0,electricity,2016-01-01 00:00:00,2017-12-31 23:00:00,730.9583333333334,17544,1.0,0.0,708.6498681087552,284.88357167277786,0.0,1487.017,0,1673.0,0.16250569995440037,,True,True,9.0,"eligible (span >= 300 d, coverage >= 0.95, non-constant, no negative readings, documented use) and within the top 10 by (missing_fraction asc, span desc, building_id asc) under a cap of 2 buildings per site. No forecast metric was used."
Bear_assembly_Angel,Bear,Entertainment/public assembly,Entertainment/public assembly,22117.0,1933.0,electricity,2016-01-01 00:00:00,2017-12-31 23:00:00,730.9583333333334,14435,0.8227884176926584,0.17721158230734158,494.3363963699343,172.02593762054786,36.5,1105.6,0,0.0,0.0018011776931070316,coverage 0.823 < 0.95,False,False,,coverage 0.823 < 0.95
Bear_assembly_Beatrice,Bear,Entertainment/public assembly,Entertainment/public assembly,2802.0,1958.0,electricity,2016-01-01 00:00:00,2017-12-31 23:00:00,730.9583333333334,17505,0.9977770177838577,0.0022229822161422552,42.9620556983719,15.632912434090159,1.75,83.0,0,0.0,0.10505569837189374,,True,False,,eligible but outside the configured subset size or site cap
