dataset,group_id,target_id,n_rows,start,end,freq,season_steps,seasonal_naive_supported,n_train,n_calibration,n_test
bdg2,Eagle_assembly_Benny,electricity,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,24,True,10526,3509,3509
bdg2,Eagle_assembly_Ian,electricity,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,24,True,10526,3509,3509
bdg2,Fox_education_Henrietta,electricity,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,24,True,10526,3509,3509
bdg2,Hog_assembly_Colette,electricity,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,24,True,10526,3509,3509
bdg2,Hog_assembly_Dona,electricity,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,24,True,10526,3509,3509
bdg2,Lamb_assembly_Bertie,electricity,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,24,True,10526,3509,3509
bdg2,Lamb_assembly_Cesar,electricity,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,24,True,10526,3509,3509
bdg2,Moose_education_Ricardo,electricity,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,24,True,10526,3509,3509
bdg2,Mouse_health_Estela,electricity,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,24,True,10526,3509,3509
bdg2,Mouse_health_Justin,electricity,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,24,True,10526,3509,3509
