dataset,group_id,target_id,units,n_rows,start,end,freq,missing_fraction,mean,std,min,max,season_steps,seasonal_naive_supported
bdg2,Eagle_assembly_Benny,electricity,kWh,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,0.0,49.24333784199726,21.208256120124574,0.0,119.125,24,True
bdg2,Eagle_assembly_Ian,electricity,kWh,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,0.0,444.2667008663931,167.82583389661576,0.0,1363.0,24,True
bdg2,Fox_education_Henrietta,electricity,kWh,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,0.0,29.452928066575467,24.071462394778735,0.0,144.92,24,True
bdg2,Hog_assembly_Colette,electricity,kWh,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,0.0,360.4161639876881,174.58335426123563,81.645,1286.352,24,True
bdg2,Hog_assembly_Dona,electricity,kWh,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,0.0,293.6240260487916,90.95489476521779,86.806,645.649,24,True
bdg2,Lamb_assembly_Bertie,electricity,kWh,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,0.0,73.78419734382125,70.91313195254655,0.0,404.6,24,True
bdg2,Lamb_assembly_Cesar,electricity,kWh,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,0.0,10.162324954400367,11.977146052037334,0.0,56.0,24,True
bdg2,Moose_education_Ricardo,electricity,kWh,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,0.0,308.89116764705886,57.75273221785927,202.0807,462.2393,24,True
bdg2,Mouse_health_Estela,electricity,kWh,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,0.0,348.32954240196085,144.40859918674565,0.0,665.0,24,True
bdg2,Mouse_health_Justin,electricity,kWh,17544,2016-01-01,2017-12-31 23:00:00,0 days 01:00:00,0.0,708.6498681087552,284.88357167277786,0.0,1487.017,24,True
