dataset,outer_fold,role,context_id,group_id,segment_id,onset_offset,duration,warmup,followup,context_start_row_id,context_end_row_id,onset_row_id,onset,context_rows,sigma,context_row_hash
pleia,2,outer_test,ec3730985769999acec0,None,None:segment:0,75,6,36,6,a57d5c1e7baa68a96d6fe7c6f27f231b63e95a02bec9f66bba4128ae8fd86edd,6052859d6e2ea2b87f543b4a0c1c4ba659db49e9e539e33994c96676e6b0a1c4,8e5bf605d67352fd0b00e13dd5ccfbe57540b46a9ccac898f13fbb6dee55d846,2021-05-26 03:00:00,144,2.8169399999999976,e9e02ffd5b54d2a83a02d5b88537728266ef8b044bc7bfe2eaae46b74e3259ff
pleia,2,outer_test,3c2ed441cb78fe67ef35,None,None:segment:0,103,6,36,6,dedce5c033fa67342850f264e828d3e5f8eb8c0e3bb63a7bbdbd7be844242491,73dbf4f63c40ff700b650eb10a5646c79d199593ba55f7c6c08b33b841cae8d4,06f9df17983679ac06817579ffe0f27007f39fae73c1962589addfb8bdec7654,2021-05-27 07:40:00,144,2.8169399999999976,3404954509bba01d36ab117ea4a8a96eebd81a0c71cb865cf56366fc00c48e31
pleia,2,outer_test,8b9681a4024d46b3e7ec,None,None:segment:0,66,6,36,6,4e599e64c570aa7884063429e488e635ca3262affc392fc90bd9b9db53d27fa3,8e2851b90d6e902afaae067b74fe8920c1e9f0978ef740888e1c7539c924091e,90d445caa5178c4ffcf8b1fb384ba01ed68537405d86233cea109b218225b7a9,2021-05-28 01:30:00,144,2.8169399999999976,5ffd3c575c43ec87f1c25e6d3d428a505d85fe471ea65a4f6c746dce08ee22fb
pleia,2,outer_test,45e3b6a5fdbd65e8305e,None,None:segment:0,70,6,36,6,2706146763ef0e38d5b0c314106596cee8379d026d049c8dd4b9593752704635,39c390007141d986a95d1b8906a06171c871dad90d75ae625514f17714addaa2,fa4ce236f11c04ad30c4c8bbecb65b1bfaeb56ebccabf6e8b8b755440169ebcb,2021-05-29 02:10:00,144,2.8169399999999976,6c58d84ec363e98e3ec96250fed2c9f5b2d4896df5fe0d705bc32064777505c8
pleia,2,outer_test,9cb0d333b98f74f847ab,None,None:segment:0,42,6,36,6,3c364cea65088e3a881d2853186f8f6739d4a48f595a3b8b34c70377737b6012,dd899bc5ccc1555eae217b1f1d91a8a6b4fd0819d83c04156d6c671981842d1b,c6d6a800592389b08c2d970e8ee0d0e9eb46bb314e5852ef8a2a540b4c3b3fd6,2021-05-29 21:30:00,144,2.8169399999999976,ab2d6628eed09f2dc2c1100670e5248fb2d2c5730353888a6e46b3aa5c173caf
pleia,2,outer_test,2481337af1f347d1dac3,None,None:segment:0,69,6,36,6,3d8bf7d0cbaf4b17920df83824503ff3a5a9c72c284c8fb900b80b3ccc952b97,0a269e542556fff8bcf6a70e28426f50d0f2c987075706539110d1570771b233,7d17f7c05042ff444e6f6cfc4efb527c0325ae8b0868dd26a008f06ef41b081f,2021-05-31 02:00:00,144,2.8169399999999976,2487a139d29de3cc1326f0c6a8d55dd6143aa6d32161df4beb2d2470d72386d7
pleia,2,outer_test,783ec13683ecfbb3bc3b,None,None:segment:0,42,6,36,6,8b31fb8f3b89f3d0ef5d805f36c52d270cb72ec1495a144cc30855b21e3aa4bb,1fcb2f27b99fa83d4fcea5d342826044e5d946715ba23623a074ea2a3b9945e0,88748d313230328476d4521eb484aeffde73a8560569886f84f9ddeabec6e68b,2021-05-31 21:30:00,144,2.8169399999999976,235adbad953e5a53292401c5ebac9838bf8a936735a8bb032122ada6bf842b8e
pleia,2,outer_test,612a34cba7b4e3c2dac2,None,None:segment:0,126,6,36,6,eb135be1964c046a1a6d3aae566940bdd9c58a773d589b0e08bee3fec5e001dd,3f7f604649c61fb7ad22941f2c16c44c7c48dbfbb8d507181c378fe9155ccd0b,5b264ea5c0c2c24fea02771c0000f44efbb05b23afb91950e0f48bc2b08264a9,2021-06-02 11:30:00,144,2.8169399999999976,0ad761c54e0c51bc8176b192966d650ae04b7bceee7e1ff60b4ac2e9cac40d56
pleia,2,outer_test,d8bf8e87c5509cf4cea6,None,None:segment:0,47,6,36,6,855eb9ef3bc4419a5ad373643bd848a40ac1ee159e7dbc18f1097d6c8fb49482,29945d46776cead36a050b4cb4fcf84d209a5f726cdf5e3650baeb43dad753e4,ac0321cf299b05964f6f31d605811bd6c80bfd35ba66f8a1900ee011e2a4c2bf,2021-06-02 22:20:00,144,2.8169399999999976,cd63c9550f2b1d5438d2b28aaba364497da1f74d30b22fe7ba4db58e132023ba
pleia,2,outer_test,bd5c98fb895a6434103f,None,None:segment:0,127,6,36,6,077b8876bb355f647dd3eb981c3d26cdb91768feb8c0e8ace6ccb13684d3db75,aaea5180b5f47c517e71f304ed4f1263ab52bfdf9f821c11fc68cf24bb0777ee,74c7c5e310fca4dc733e8b9f247f1b49096e9ff5b1997c6e0fa47ede4373d5a7,2021-06-04 11:40:00,144,2.8169399999999976,e3a89c225bc86f73b79040e37801c8c36c55bb28cdd689caed9248544f14892c
