dataset,outer_fold,model_seed,horizon,level,method,adapter_implemented,no_fit_role_support_passed,matched_xgboost_owner_available,completion_status,execution_prerequisite
pleia,0,42,1,0.9,quantile_uncalibrated,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,3,0.9,quantile_uncalibrated,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,6,0.9,quantile_uncalibrated,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,1,0.9,cqr,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,3,0.9,cqr,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,6,0.9,cqr,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,1,0.9,recentred_enbpi_static,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,3,0.9,recentred_enbpi_static,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,6,0.9,recentred_enbpi_static,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,1,0.9,recentred_enbpi_updated,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,3,0.9,recentred_enbpi_updated,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,6,0.9,recentred_enbpi_updated,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,1,0.9,dscp,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,3,0.9,dscp,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,6,0.9,dscp,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,1,0.95,quantile_uncalibrated,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,3,0.95,quantile_uncalibrated,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,6,0.95,quantile_uncalibrated,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,1,0.95,cqr,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,3,0.95,cqr,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,6,0.95,cqr,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,1,0.95,recentred_enbpi_static,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,3,0.95,recentred_enbpi_static,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,6,0.95,recentred_enbpi_static,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,1,0.95,recentred_enbpi_updated,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,3,0.95,recentred_enbpi_updated,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,6,0.95,recentred_enbpi_updated,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,1,0.95,dscp,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,3,0.95,dscp,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,42,6,0.95,dscp,True,True,True,remaining,fresh_versioned_authorization_and_readiness_for_unexecuted_cells
pleia,0,43,1,0.9,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,43,3,0.9,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,43,6,0.9,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,43,1,0.9,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,43,3,0.9,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,43,6,0.9,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,43,1,0.9,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,43,3,0.9,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,43,6,0.9,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,43,1,0.9,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,43,3,0.9,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,43,6,0.9,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,43,1,0.9,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,43,3,0.9,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,43,6,0.9,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,43,1,0.95,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,43,3,0.95,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,43,6,0.95,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,43,1,0.95,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,43,3,0.95,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,43,6,0.95,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,43,1,0.95,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,43,3,0.95,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,43,6,0.95,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,43,1,0.95,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,43,3,0.95,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,43,6,0.95,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,43,1,0.95,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,43,3,0.95,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,43,6,0.95,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,44,1,0.9,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,44,3,0.9,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,44,6,0.9,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,44,1,0.9,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,44,3,0.9,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,44,6,0.9,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,44,1,0.9,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,44,3,0.9,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,44,6,0.9,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,44,1,0.9,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,44,3,0.9,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,44,6,0.9,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,44,1,0.9,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,44,3,0.9,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,44,6,0.9,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,44,1,0.95,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,44,3,0.95,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,44,6,0.95,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,44,1,0.95,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,44,3,0.95,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,44,6,0.95,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,44,1,0.95,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,44,3,0.95,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,44,6,0.95,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,44,1,0.95,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,44,3,0.95,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,44,6,0.95,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,44,1,0.95,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,44,3,0.95,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,44,6,0.95,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,45,1,0.9,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,45,3,0.9,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,45,6,0.9,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,45,1,0.9,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,45,3,0.9,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,45,6,0.9,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,45,1,0.9,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,45,3,0.9,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,45,6,0.9,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,45,1,0.9,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,45,3,0.9,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,45,6,0.9,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,45,1,0.9,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,45,3,0.9,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,45,6,0.9,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,45,1,0.95,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,45,3,0.95,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,45,6,0.95,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,45,1,0.95,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,45,3,0.95,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,45,6,0.95,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,45,1,0.95,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,45,3,0.95,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,45,6,0.95,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,45,1,0.95,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,45,3,0.95,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,45,6,0.95,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,45,1,0.95,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,45,3,0.95,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,45,6,0.95,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,46,1,0.9,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,46,3,0.9,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,46,6,0.9,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,46,1,0.9,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,46,3,0.9,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,46,6,0.9,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,46,1,0.9,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,46,3,0.9,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,46,6,0.9,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,46,1,0.9,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,46,3,0.9,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,46,6,0.9,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,46,1,0.9,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,46,3,0.9,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,46,6,0.9,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,46,1,0.95,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,46,3,0.95,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,46,6,0.95,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,0,46,1,0.95,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,46,3,0.95,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,46,6,0.95,cqr,True,True,False,remaining,owner_artifact_absent
pleia,0,46,1,0.95,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,46,3,0.95,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,46,6,0.95,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
pleia,0,46,1,0.95,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,46,3,0.95,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,46,6,0.95,recentred_enbpi_updated,True,True,False,remaining,owner_artifact_absent
pleia,0,46,1,0.95,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,46,3,0.95,dscp,True,True,False,remaining,owner_artifact_absent
pleia,0,46,6,0.95,dscp,True,True,False,remaining,owner_artifact_absent
pleia,1,42,1,0.9,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,1,42,3,0.9,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,1,42,6,0.9,quantile_uncalibrated,True,True,False,remaining,owner_artifact_absent
pleia,1,42,1,0.9,cqr,True,True,False,remaining,owner_artifact_absent
pleia,1,42,3,0.9,cqr,True,True,False,remaining,owner_artifact_absent
pleia,1,42,6,0.9,cqr,True,True,False,remaining,owner_artifact_absent
pleia,1,42,1,0.9,recentred_enbpi_static,True,True,False,remaining,owner_artifact_absent
