dataset,outer_fold,role,joint_rows,groups,frequency_minutes,membership_no_fit_passed
pleia_energy,0,fit,29705,1,10.0,True
pleia_energy,0,calibration,9897,1,10.0,True
pleia_energy,0,test,9904,1,10.0,True
pleia_energy,1,fit,22275,1,10.0,True
pleia_energy,1,calibration,7420,1,10.0,True
pleia_energy,1,test,9902,1,10.0,True
pleia_energy,2,fit,14845,1,10.0,True
pleia_energy,2,calibration,4943,1,10.0,True
pleia_energy,2,test,9902,1,10.0,True
pleia,0,fit,29705,1,10.0,True
pleia,0,calibration,9897,1,10.0,True
pleia,0,test,9902,1,10.0,True
pleia,1,fit,22275,1,10.0,True
pleia,1,calibration,7420,1,10.0,True
pleia,1,test,9902,1,10.0,True
pleia,2,fit,14845,1,10.0,True
pleia,2,calibration,4943,1,10.0,True
pleia,2,test,9902,1,10.0,True
rico,0,fit,19311,123,1.0,True
rico,0,calibration,6437,41,1.0,True
rico,0,test,6751,43,1.0,True
rico,1,fit,14444,92,1.0,True
rico,1,calibration,4867,31,1.0,True
rico,1,test,6437,41,1.0,True
rico,2,fit,9577,61,1.0,True
rico,2,calibration,3297,21,1.0,True
rico,2,test,6437,41,1.0,True
bdg2,0,fit,103544,10,60.0,True
bdg2,0,calibration,34454,10,60.0,True
bdg2,0,test,34376,10,60.0,True
bdg2,1,fit,77542,10,60.0,True
bdg2,1,calibration,25902,10,60.0,True
bdg2,1,test,34492,10,60.0,True
bdg2,2,fit,51534,10,60.0,True
bdg2,2,calibration,17270,10,60.0,True
bdg2,2,test,34590,10,60.0,True
