dataset,target,partition,event_id,event_type,severity,magnitude_sd,injected_magnitude,scale_used,start_index,end_index,duration_steps,start_time,end_time,group_id,seed
pleia_energy,blockB-dif_cons,calibration_rule_block,0,bias_negative,1.0sd,1.0,-0.3406093050462054,0.3406093050462054,16,33,18,2021-09-10 20:20:00,2021-09-10 23:10:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,1,bias_positive,2.0sd,2.0,0.6812186100924108,0.3406093050462054,62,79,18,2021-09-11 04:00:00,2021-09-11 06:50:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,2,drift,1.0sd,1.0,-0.3406093050462054,0.3406093050462054,109,144,36,2021-09-11 11:50:00,2021-09-11 17:40:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,3,bias_positive,1.0sd,1.0,0.3406093050462054,0.3406093050462054,158,175,18,2021-09-11 20:00:00,2021-09-11 22:50:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,4,dropout,dropout,0.0,0.0,0.3406093050462054,228,239,12,2021-09-12 07:40:00,2021-09-12 09:30:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,5,bias_positive,0.5sd,0.5,0.1703046525231027,0.3406093050462054,310,327,18,2021-09-12 21:20:00,2021-09-13 00:10:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,6,dropout,dropout,0.0,0.0,0.3406093050462054,447,458,12,2021-09-13 20:10:00,2021-09-13 22:00:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,7,bias_positive,2.0sd,2.0,0.6812186100924108,0.3406093050462054,615,632,18,2021-09-15 00:10:00,2021-09-15 03:00:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,8,bias_negative,2.0sd,2.0,-0.6812186100924108,0.3406093050462054,812,829,18,2021-09-16 09:00:00,2021-09-16 11:50:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,9,level_shift,2.0sd,2.0,0.6812186100924108,0.3406093050462054,872,883,12,2021-09-16 19:00:00,2021-09-16 20:50:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,10,bias_negative,1.0sd,1.0,-0.3406093050462054,0.3406093050462054,1014,1031,18,2021-09-17 18:40:00,2021-09-17 21:30:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,11,bias_positive,2.0sd,2.0,0.6812186100924108,0.3406093050462054,1103,1120,18,2021-09-18 09:30:00,2021-09-18 12:20:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,12,level_shift,2.0sd,2.0,0.6812186100924108,0.3406093050462054,1314,1325,12,2021-09-19 20:40:00,2021-09-19 22:30:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,13,bias_negative,0.5sd,0.5,-0.1703046525231027,0.3406093050462054,1344,1361,18,2021-09-20 01:40:00,2021-09-20 04:30:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,14,bias_positive,0.5sd,0.5,0.1703046525231027,0.3406093050462054,1411,1428,18,2021-09-20 12:50:00,2021-09-20 15:40:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,15,bias_negative,0.5sd,0.5,-0.1703046525231027,0.3406093050462054,1625,1642,18,2021-09-22 00:30:00,2021-09-22 03:20:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,16,level_shift,0.5sd,0.5,0.1703046525231027,0.3406093050462054,1715,1726,12,2021-09-22 15:30:00,2021-09-22 17:20:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,17,spike,4.0sd,4.0,-1.3624372201848216,0.3406093050462054,1815,1815,1,2021-09-23 08:10:00,2021-09-23 08:10:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,18,level_shift,1.0sd,1.0,0.3406093050462054,0.3406093050462054,1855,1866,12,2021-09-23 14:50:00,2021-09-23 16:40:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,19,bias_positive,0.5sd,0.5,0.1703046525231027,0.3406093050462054,1973,1990,18,2021-09-24 10:30:00,2021-09-24 13:20:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,20,bias_negative,2.0sd,2.0,-0.6812186100924108,0.3406093050462054,1998,2015,18,2021-09-24 14:40:00,2021-09-24 17:30:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,21,bias_negative,1.0sd,1.0,-0.3406093050462054,0.3406093050462054,2028,2045,18,2021-09-24 19:40:00,2021-09-24 22:30:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,22,drift,2.0sd,2.0,0.6812186100924108,0.3406093050462054,2154,2189,36,2021-09-25 16:40:00,2021-09-25 22:30:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,23,drift,2.0sd,2.0,0.6812186100924108,0.3406093050462054,2202,2237,36,2021-09-26 00:40:00,2021-09-26 06:30:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,24,stuck,stuck,0.0,0.0,0.3406093050462054,2326,2343,18,2021-09-26 21:20:00,2021-09-27 00:10:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,25,level_shift,0.5sd,0.5,0.1703046525231027,0.3406093050462054,2351,2362,12,2021-09-27 01:30:00,2021-09-27 03:20:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,26,spike,4.0sd,4.0,-1.3624372201848216,0.3406093050462054,2427,2427,1,2021-09-27 14:10:00,2021-09-27 14:10:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,27,bias_negative,0.5sd,0.5,-0.1703046525231027,0.3406093050462054,2542,2559,18,2021-09-28 09:20:00,2021-09-28 12:10:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,28,stuck,stuck,0.0,0.0,0.3406093050462054,2611,2628,18,2021-09-28 20:50:00,2021-09-28 23:40:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,29,level_shift,1.0sd,1.0,0.3406093050462054,0.3406093050462054,2749,2760,12,2021-09-29 19:50:00,2021-09-29 21:40:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,30,bias_positive,1.0sd,1.0,0.3406093050462054,0.3406093050462054,2790,2807,18,2021-09-30 02:40:00,2021-09-30 05:30:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,31,drift,1.0sd,1.0,0.3406093050462054,0.3406093050462054,3017,3052,36,2021-10-01 16:30:00,2021-10-01 22:20:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,32,level_shift,0.5sd,0.5,0.1703046525231027,0.3406093050462054,3093,3104,12,2021-10-02 05:10:00,2021-10-02 07:00:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,33,drift,1.0sd,1.0,-0.3406093050462054,0.3406093050462054,3137,3172,36,2021-10-02 12:30:00,2021-10-02 18:20:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,34,bias_negative,2.0sd,2.0,-0.6812186100924108,0.3406093050462054,3207,3224,18,2021-10-03 00:10:00,2021-10-03 03:00:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,35,bias_positive,1.0sd,1.0,0.3406093050462054,0.3406093050462054,3447,3464,18,2021-10-04 16:10:00,2021-10-04 19:00:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,36,drift,2.0sd,2.0,0.6812186100924108,0.3406093050462054,3543,3578,36,2021-10-05 08:10:00,2021-10-05 14:00:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,37,level_shift,1.0sd,1.0,0.3406093050462054,0.3406093050462054,3605,3616,12,2021-10-05 18:30:00,2021-10-05 20:20:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,38,stuck,stuck,0.0,0.0,0.3406093050462054,3809,3826,18,2021-10-07 04:30:00,2021-10-07 07:20:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,39,spike,4.0sd,4.0,-1.3624372201848216,0.3406093050462054,3874,3874,1,2021-10-07 15:20:00,2021-10-07 15:20:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,40,dropout,dropout,0.0,0.0,0.3406093050462054,3944,3955,12,2021-10-08 03:00:00,2021-10-08 04:50:00,,92
pleia_energy,blockB-dif_cons,calibration_rule_block,41,level_shift,2.0sd,2.0,0.6812186100924108,0.3406093050462054,4009,4020,12,2021-10-08 13:50:00,2021-10-08 15:40:00,,92
pleia_energy,blockB-dif_cons,test,0,spike,4.0sd,4.0,1.3624372201848216,0.3406093050462054,164,164,1,2021-10-09 22:50:00,2021-10-09 22:50:00,,142
pleia_energy,blockB-dif_cons,test,1,bias_negative,1.0sd,1.0,-0.3406093050462054,0.3406093050462054,204,221,18,2021-10-10 05:30:00,2021-10-10 08:20:00,,142
pleia_energy,blockB-dif_cons,test,2,spike,4.0sd,4.0,-1.3624372201848216,0.3406093050462054,231,231,1,2021-10-10 10:00:00,2021-10-10 10:00:00,,142
pleia_energy,blockB-dif_cons,test,3,drift,2.0sd,2.0,-0.6812186100924108,0.3406093050462054,739,774,36,2021-10-13 22:40:00,2021-10-14 04:30:00,,142
pleia_energy,blockB-dif_cons,test,4,level_shift,0.5sd,0.5,0.1703046525231027,0.3406093050462054,800,811,12,2021-10-14 08:50:00,2021-10-14 10:40:00,,142
pleia_energy,blockB-dif_cons,test,5,bias_negative,1.0sd,1.0,-0.3406093050462054,0.3406093050462054,915,932,18,2021-10-15 04:00:00,2021-10-15 06:50:00,,142
pleia_energy,blockB-dif_cons,test,6,bias_positive,0.5sd,0.5,0.1703046525231027,0.3406093050462054,1089,1106,18,2021-10-16 09:00:00,2021-10-16 11:50:00,,142
pleia_energy,blockB-dif_cons,test,7,bias_negative,0.5sd,0.5,-0.1703046525231027,0.3406093050462054,1628,1645,18,2021-10-20 02:50:00,2021-10-20 05:40:00,,142
pleia_energy,blockB-dif_cons,test,8,stuck,stuck,0.0,0.0,0.3406093050462054,1944,1961,18,2021-10-22 07:30:00,2021-10-22 10:20:00,,142
pleia_energy,blockB-dif_cons,test,9,bias_positive,2.0sd,2.0,0.6812186100924108,0.3406093050462054,2092,2109,18,2021-10-23 08:10:00,2021-10-23 11:00:00,,142
pleia_energy,blockB-dif_cons,test,10,level_shift,1.0sd,1.0,0.3406093050462054,0.3406093050462054,2257,2268,12,2021-10-24 11:40:00,2021-10-24 13:30:00,,142
pleia_energy,blockB-dif_cons,test,11,bias_negative,1.0sd,1.0,-0.3406093050462054,0.3406093050462054,2303,2320,18,2021-10-24 19:20:00,2021-10-24 22:10:00,,142
pleia_energy,blockB-dif_cons,test,12,bias_positive,2.0sd,2.0,0.6812186100924108,0.3406093050462054,2563,2580,18,2021-10-26 14:40:00,2021-10-26 17:30:00,,142
pleia_energy,blockB-dif_cons,test,13,drift,1.0sd,1.0,-0.3406093050462054,0.3406093050462054,2760,2795,36,2021-10-27 23:30:00,2021-10-28 05:20:00,,142
pleia_energy,blockB-dif_cons,test,14,level_shift,1.0sd,1.0,0.3406093050462054,0.3406093050462054,3176,3187,12,2021-10-30 20:50:00,2021-10-30 22:40:00,,142
pleia_energy,blockB-dif_cons,test,15,level_shift,1.0sd,1.0,0.3406093050462054,0.3406093050462054,3306,3317,12,2021-10-31 18:30:00,2021-10-31 20:20:00,,142
pleia_energy,blockB-dif_cons,test,16,bias_negative,2.0sd,2.0,-0.6812186100924108,0.3406093050462054,3328,3345,18,2021-10-31 22:10:00,2021-11-01 01:00:00,,142
pleia_energy,blockB-dif_cons,test,17,bias_positive,2.0sd,2.0,0.6812186100924108,0.3406093050462054,3527,3544,18,2021-11-02 07:20:00,2021-11-02 10:10:00,,142
