dataset,horizon,outer_fold,model_seed,model,run_path,run_tree_sha256,protocol_path,protocol_sha256,source_sha256,evaluated_commit,model_owner_path,model_owner_sha256,model_owner_complete_sha256,acceptance_reference,historical_reuse,historical_refits
bdg2,1,0,42,persistence,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s42_v1,20ea4957bc9ea9e0c941c227a7358c6d88c9b21504372a2a892a2f2a6f25615a,smart_building_conformal/protocols/matched_forecasting005/bdg2_h1_f0_s42_v1_core_completion_v1/frozen_protocol.json,903363aeb03f9eeee3aef13f3b9fa7469364746d3885fdee5071f9affb2052d0,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,c8173136fa2e531e457791f8df5f3fc50ecf2454,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s42_v1/units/bdg2_h1_f0_s42_persistence/model.json,d1412ee3d3e418b89938666fc00195b4a9ff628098d8f01dd43c19df87ed248b,5b285a2b1b87ae9eb1d16bfd7f0ba63a81b0a1a77384510f8080bce4a9f5ee3a,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\bdg2_h1_f0_s42_v1\audit_v1/validation.json,False,0
bdg2,1,0,42,xgboost,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s42_v1,20ea4957bc9ea9e0c941c227a7358c6d88c9b21504372a2a892a2f2a6f25615a,smart_building_conformal/protocols/matched_forecasting005/bdg2_h1_f0_s42_v1_core_completion_v1/frozen_protocol.json,903363aeb03f9eeee3aef13f3b9fa7469364746d3885fdee5071f9affb2052d0,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,c8173136fa2e531e457791f8df5f3fc50ecf2454,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s42_v1/units/bdg2_h1_f0_s42_xgboost/model.ubj,80b1b901421b410e0cbd1e5b798f6aa1746fad6d563622f1db05b2526d61b6bb,9dbc8f75d57a15acb191ddfa5de4488831f460b44ae31a56c68644809b17453b,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\bdg2_h1_f0_s42_v1\audit_v1/validation.json,False,0
bdg2,1,0,42,attention_lstm,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s42_v1,20ea4957bc9ea9e0c941c227a7358c6d88c9b21504372a2a892a2f2a6f25615a,smart_building_conformal/protocols/matched_forecasting005/bdg2_h1_f0_s42_v1_core_completion_v1/frozen_protocol.json,903363aeb03f9eeee3aef13f3b9fa7469364746d3885fdee5071f9affb2052d0,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,c8173136fa2e531e457791f8df5f3fc50ecf2454,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s42_v1/units/bdg2_h1_f0_s42_attention_lstm/model.pt,a762d0d941b80789bb1e495192d4a18920c5c64967e3d07336fcedac19c5a0f5,84452753f8e637eb2217ab16e2ae996c995e0a7959d94e50aa83e7ea25e460e0,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\bdg2_h1_f0_s42_v1\audit_v1/validation.json,False,0
bdg2,1,0,43,persistence,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s43_v1,1e773f059b5a512c187aadf619eab0afa5ef461d6c01d20144ea1690ae25e6e6,smart_building_conformal/protocols/matched_forecasting005/bdg2_h1_f0_s43_v1_core_completion_v1/frozen_protocol.json,bd967fc5210c19a9fad9a5e7343341181dbe2ecb2481131260439ea4feaa7bcd,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,c8173136fa2e531e457791f8df5f3fc50ecf2454,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s43_v1/units/bdg2_h1_f0_s43_persistence/model.json,d1412ee3d3e418b89938666fc00195b4a9ff628098d8f01dd43c19df87ed248b,6f8ed40ee57445db0bba30330a334dd64bd8bc38dfc701b70d56fae78cf31870,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\bdg2_h1_f0_s43_v1\audit_v1/validation.json,False,0
bdg2,1,0,43,xgboost,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s43_v1,1e773f059b5a512c187aadf619eab0afa5ef461d6c01d20144ea1690ae25e6e6,smart_building_conformal/protocols/matched_forecasting005/bdg2_h1_f0_s43_v1_core_completion_v1/frozen_protocol.json,bd967fc5210c19a9fad9a5e7343341181dbe2ecb2481131260439ea4feaa7bcd,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,c8173136fa2e531e457791f8df5f3fc50ecf2454,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s43_v1/units/bdg2_h1_f0_s43_xgboost/model.ubj,ba22cbd8317c18eae4525cb41addc3a86e7c87eb8a1aaea58f56c4a38dcd0038,06e68c54a53f59b9cbe3b68cf8ef9d0da3da03f102a854fad1dcc8a6c11172a8,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\bdg2_h1_f0_s43_v1\audit_v1/validation.json,False,0
bdg2,1,0,43,attention_lstm,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s43_v1,1e773f059b5a512c187aadf619eab0afa5ef461d6c01d20144ea1690ae25e6e6,smart_building_conformal/protocols/matched_forecasting005/bdg2_h1_f0_s43_v1_core_completion_v1/frozen_protocol.json,bd967fc5210c19a9fad9a5e7343341181dbe2ecb2481131260439ea4feaa7bcd,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,c8173136fa2e531e457791f8df5f3fc50ecf2454,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s43_v1/units/bdg2_h1_f0_s43_attention_lstm/model.pt,8ac04c26c5fdd67e4e01f7a36cfdf52cd0758c589da8ac96be25f4c865d5f800,6ee46bbda2a3957d4d785eb916261022895a8ba4bea6c350856b08f1d646af7a,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\bdg2_h1_f0_s43_v1\audit_v1/validation.json,False,0
bdg2,1,0,44,persistence,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s44_v1,aca181d46243d3796c0a2e676028e04e7fab543c4dc422265ecc8c5a380c9a6e,smart_building_conformal/protocols/matched_forecasting005/bdg2_h1_f0_s44_v1_core_completion_v1/frozen_protocol.json,66bc662bdf28008cfec0aac5a1d05bb2bbebdf508a16438e411f24fd29a932c9,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,c8173136fa2e531e457791f8df5f3fc50ecf2454,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s44_v1/units/bdg2_h1_f0_s44_persistence/model.json,d1412ee3d3e418b89938666fc00195b4a9ff628098d8f01dd43c19df87ed248b,c921be6ed25cc84bae80b014ae06e7c15d5515759c2ec5c5ba1e7d829f71dcb2,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\bdg2_h1_f0_s44_v1\audit_v1/validation.json,False,0
bdg2,1,0,44,xgboost,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s44_v1,aca181d46243d3796c0a2e676028e04e7fab543c4dc422265ecc8c5a380c9a6e,smart_building_conformal/protocols/matched_forecasting005/bdg2_h1_f0_s44_v1_core_completion_v1/frozen_protocol.json,66bc662bdf28008cfec0aac5a1d05bb2bbebdf508a16438e411f24fd29a932c9,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,c8173136fa2e531e457791f8df5f3fc50ecf2454,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s44_v1/units/bdg2_h1_f0_s44_xgboost/model.ubj,392b4f2b7b9376676a74191909fc8540afd1fdbd730ecd69dcdc4f967d0c8297,e6d957ba7959117e796f7749653c23bf39b3f738dfa80bfd15a3e3b054f4a1b2,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\bdg2_h1_f0_s44_v1\audit_v1/validation.json,False,0
bdg2,1,0,44,attention_lstm,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s44_v1,aca181d46243d3796c0a2e676028e04e7fab543c4dc422265ecc8c5a380c9a6e,smart_building_conformal/protocols/matched_forecasting005/bdg2_h1_f0_s44_v1_core_completion_v1/frozen_protocol.json,66bc662bdf28008cfec0aac5a1d05bb2bbebdf508a16438e411f24fd29a932c9,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,c8173136fa2e531e457791f8df5f3fc50ecf2454,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s44_v1/units/bdg2_h1_f0_s44_attention_lstm/model.pt,4657c021f0bc87c0a992bf9d71dbfb5306cb9db13d4f76cac4963d615ac9396d,ccaf1efaf6e10f030c63f8f4acd938897e51b8dc909f240bde8194ff948c6799,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\bdg2_h1_f0_s44_v1\audit_v1/validation.json,False,0
bdg2,1,0,45,persistence,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s45_v1,ee58552deb525bfc86bf139bee9517a4b9c5f717edbbacc9e9761e3f6a84339e,smart_building_conformal/protocols/matched_forecasting005/bdg2_h1_f0_s45_v1_core_completion_v1/frozen_protocol.json,82f781b32fd6315cf99ab97bfc074bf27755e7597f62a7b010229ddf817c7190,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,c8173136fa2e531e457791f8df5f3fc50ecf2454,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s45_v1/units/bdg2_h1_f0_s45_persistence/model.json,d1412ee3d3e418b89938666fc00195b4a9ff628098d8f01dd43c19df87ed248b,88c76ffeff46a737b178199b36d8f29908ddec2a8647cceb8d811f3debf70b8e,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\bdg2_h1_f0_s45_v1\audit_v1/validation.json,False,0
