role,family,severity,requested,effective,distinct_effective_onsets,placed,null,rejected
inner0_selection,random_missing,0.5,96,41,41,96,55,0
inner0_selection,random_missing,1.0,97,58,58,97,39,0
inner0_selection,random_missing,2.0,98,84,84,98,14,0
inner0_selection,block_missing,0.5,99,99,98,99,0,0
inner0_selection,block_missing,1.0,100,100,100,100,0,0
inner0_selection,block_missing,2.0,100,100,100,100,0,0
inner0_selection,stuck,0.5,100,91,91,100,9,0
inner0_selection,stuck,1.0,100,96,96,100,4,0
inner0_selection,stuck,2.0,99,94,93,99,5,0
inner0_selection,dropout,0.5,98,96,96,98,2,0
inner0_selection,dropout,1.0,97,97,97,97,0,0
inner0_selection,dropout,2.0,96,95,95,96,1,0
inner0_selection,bias,0.5,95,95,95,95,0,0
inner0_selection,bias,1.0,95,95,95,95,0,0
inner0_selection,bias,2.0,95,95,95,95,0,0
inner0_selection,level_shift,0.5,95,95,95,95,0,0
inner0_selection,level_shift,1.0,95,95,95,95,0,0
inner0_selection,level_shift,2.0,95,95,95,95,0,0
inner0_selection,drift,0.5,95,95,95,95,0,0
inner0_selection,drift,1.0,95,95,95,95,0,0
inner0_selection,drift,2.0,95,95,95,95,0,0
inner1_selection,random_missing,0.5,96,38,38,96,58,0
inner1_selection,random_missing,1.0,97,57,57,97,40,0
inner1_selection,random_missing,2.0,98,89,89,98,9,0
inner1_selection,block_missing,0.5,99,99,99,99,0,0
inner1_selection,block_missing,1.0,100,100,100,100,0,0
inner1_selection,block_missing,2.0,100,100,100,100,0,0
inner1_selection,stuck,0.5,100,96,96,100,4,0
inner1_selection,stuck,1.0,100,100,99,100,0,0
inner1_selection,stuck,2.0,99,99,99,99,0,0
inner1_selection,dropout,0.5,98,98,97,98,0,0
inner1_selection,dropout,1.0,97,97,96,97,0,0
inner1_selection,dropout,2.0,96,96,96,96,0,0
inner1_selection,bias,0.5,95,95,95,95,0,0
inner1_selection,bias,1.0,95,95,95,95,0,0
inner1_selection,bias,2.0,95,95,95,95,0,0
inner1_selection,level_shift,0.5,95,95,95,95,0,0
inner1_selection,level_shift,1.0,95,95,95,95,0,0
inner1_selection,level_shift,2.0,95,95,95,95,0,0
inner1_selection,drift,0.5,95,95,95,95,0,0
inner1_selection,drift,1.0,95,95,95,95,0,0
inner1_selection,drift,2.0,95,95,95,95,0,0
outer_test,random_missing,0.5,171,58,58,171,113,0
outer_test,random_missing,1.0,172,102,102,172,70,0
outer_test,random_missing,2.0,173,145,145,173,28,0
outer_test,block_missing,0.5,174,174,173,174,0,0
outer_test,block_missing,1.0,175,175,175,175,0,0
outer_test,block_missing,2.0,175,175,175,175,0,0
outer_test,stuck,0.5,175,139,138,175,36,0
outer_test,stuck,1.0,175,142,141,175,33,0
outer_test,stuck,2.0,174,145,145,174,29,0
outer_test,dropout,0.5,173,172,172,173,1,0
outer_test,dropout,1.0,172,172,172,172,0,0
outer_test,dropout,2.0,171,171,171,171,0,0
outer_test,bias,0.5,170,170,169,170,0,0
outer_test,bias,1.0,170,170,170,170,0,0
outer_test,bias,2.0,170,170,169,170,0,0
outer_test,level_shift,0.5,170,170,170,170,0,0
outer_test,level_shift,1.0,170,170,169,170,0,0
outer_test,level_shift,2.0,170,170,170,170,0,0
outer_test,drift,0.5,170,170,170,170,0,0
outer_test,drift,1.0,170,170,170,170,0,0
outer_test,drift,2.0,170,170,170,170,0,0
