dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,role,n,groups,zero_targets,negative_targets,adjacent_equal_targets,minimum,maximum,posthoc_cleaning_or_clipping
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,False,calibration,4452,21,0,0,3712,18.9,35.6,False
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,False,test,8692,41,0,0,7402,13.7,31.0,False
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,False,calibration,17370,10,58,0,618,0.0,1461.181,False
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,False,test,34640,10,74,0,2406,0.0,1309.0,False
pleia,1,0,42,degrees C,10,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,False,calibration,9907,1,0,0,2247,21.8,33.5,False
pleia,1,0,42,degrees C,10,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,False,test,9907,1,0,0,2620,15.4,29.3,False
pleia,3,0,42,degrees C,30,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,False,calibration,9906,1,0,0,2247,21.8,33.5,False
pleia,3,0,42,degrees C,30,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,False,test,9907,1,0,0,2620,15.4,29.3,False
pleia,6,0,42,degrees C,60,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,False,calibration,9904,1,0,0,2246,21.8,33.5,False
pleia,6,0,42,degrees C,60,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,False,test,9907,1,0,0,2620,15.4,29.3,False
