dataset,horizon,outer_fold,role_bank_hash,roles,exported_source_order_differs_for,ordered_role_hashes_match,passed,models_fitted
bdg2,1,0,64f6cf3ef3ea9b723a2e9bd493296fa6d34a88d08337919cf772e1d337daf042,7,inner1_train,True,True,0
bdg2,1,1,581a84c73e1f3ae9afce79645b2487ac3e6594dce2964ddda9ba0c0d0b062fc3,7,inner1_train,True,True,0
bdg2,1,2,dc1777931a9ff3ea7618ea2f42593508ea058ed2eee51e5d7da3023e49b50342,7,inner1_train,True,True,0
bdg2,3,0,4e8e3e7dc51a1471a5ac451eb5ee6fb8805ea0792e83629518eead08575d8401,7,inner1_train,True,True,0
bdg2,3,1,73c0a8e35ef9c98b7aade850c1e42dca1c7390ab1e348f5b4b995f02bb6bed23,7,inner1_train,True,True,0
bdg2,3,2,c1131a9d34af97210a5165e90d03721d8528ad05e9579d3299c486047d4e9b55,7,inner1_train,True,True,0
bdg2,6,0,2bda08158ea036e56ef0635a5555807cc244ffd39993e10c655abd9bf5271b21,7,inner1_train,True,True,0
bdg2,6,1,ff312091ac4b8b44b14000e1e7b828ca4e49b2b54c165a30904a10f3e7b27d7b,7,inner1_train,True,True,0
bdg2,6,2,9abcf13664a5dbd8c96c390b879095bce984f2809c147423d9338c3ecce0555b,7,inner1_train,True,True,0
pleia,1,0,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,7,,True,True,0
pleia,1,1,3552f62bacee7b31463270ce066d67d2a1c31e2ac77c26a98fb16578112d4e01,7,,True,True,0
pleia,1,2,badafb8398bc754b251fa2a13514fa6111f8bf96e4054696777b03dce5e878f2,7,,True,True,0
pleia,3,0,cde97dc58725844b7e46b83147c5f50fc26dfd453ef5fbe1a82ee8c14cc7c4a0,7,,True,True,0
pleia,3,1,60f6616770b99a317d24aa70242c443c15873ab0183cbeb129f91ef24cc7c9cc,7,,True,True,0
pleia,3,2,6fa371901b6c3e9ddf59ab5f6a3dfd4df7833e00db6e5ee2c633f99798fb542a,7,,True,True,0
pleia,6,0,e0ab4a35f481da2e3e4589f45de078eb337e279566332f0e670287c2a94c8a80,7,,True,True,0
pleia,6,1,887b45012aa08ca3f3ed4f44816d6cff17c2a86277543ac0c77a2f79c66323a8,7,,True,True,0
pleia,6,2,71eb667e2ed175651d70ebdcf17848409bd01b14568e768b8f7d37b654481b9f,7,,True,True,0
pleia_energy,1,0,2c01da7ec94037d9b88d36fa91b52f5ec841f85bc648406f8796c190ac7c4c92,7,,True,True,0
pleia_energy,1,1,6555410ca489cfd7a7bd498b3bf6b961842306f1eb188501314e4cd048c126ae,7,,True,True,0
pleia_energy,1,2,8892aaa62fd2dbf5f922cc593f23e7df743bbe64a25d183d1c972c5f3f0a731a,7,,True,True,0
pleia_energy,3,0,1ebbe952bc0a3d194d2b8c7b51e897940e5ef2dfc6e16a7da3f36b8849c43d16,7,,True,True,0
pleia_energy,3,1,0e0e43c26b3a3ac4a700bd7f39e2a3123826985165d5f030b7eb425595462a86,7,,True,True,0
pleia_energy,3,2,2d8a91b93c1a8b8aa8ef5a6496971ee12250108a24504ff6b046cf70b7262f75,7,,True,True,0
pleia_energy,6,0,2edc6b22537cd6fd17e255b1aefbea8fa9a21320bdf0262bdf7721778e207f6b,7,,True,True,0
pleia_energy,6,1,95598fecf259219b881bcd3c8e2c8de27d2b3d13a2ffe3d086329b75430eb4d9,7,,True,True,0
pleia_energy,6,2,17388d3fc0eb13d4265cd50d42d6e7474b004321277d6027e30ba7f2f8e58674,7,,True,True,0
rico,5,0,84a0f2fd97c45dd4ed7f3f6e5b4f46cb921762d9fcb705d5ebc68d29dcb9f436,7,,True,True,0
rico,5,1,f3b3fbf07402cca9bea0b66d9bb38283e0e51b7fcbe80081f013440ab8a434cb,7,,True,True,0
rico,5,2,c92f78dc224b34d0b5f434d8a31bd57857057a8bd4a92f1675bf095005b45f1d,7,,True,True,0
rico,15,0,2422dfbf8d92961c64840e41956af64ac98d4bb12d56c3c33357d5d650fd3bb1,7,,True,True,0
rico,15,1,74e96251a211213a430850bd029d93e04f1b31b26b09259a0637c64068407f3a,7,,True,True,0
rico,15,2,9518d3e3e4e1177df814581d4389340b2e13bea0f7456bc9375d6104e6e3bf31,7,,True,True,0
rico,30,0,ae75d85eba01aabc6583c75c98dadf8540130a8a1f957ed37ceafda9b3ffea42,7,,True,True,0
rico,30,1,948956198f364279bdc4acfc15d74108d1f157ca1864f909c33803ffc348017f,7,,True,True,0
rico,30,2,1e2ca90b7a53d0080a55f9a00d7855611ae30d8d8cbc8448efdaed67a04ba02c,7,,True,True,0
rico,60,0,72673f114d0f863dffc186e2946a74a930576b837ffeee1e5d6f033ebd53372c,7,,True,True,0
rico,60,1,45018a63ccb823db5f54d0b17cc2a68f8eb6824aeec0cf77efd02e6f485d9747,7,,True,True,0
rico,60,2,639ceecb5bf9b521418ca6a7fdd7b58284343f14208c4fd7e92beae3218dfb9b,7,,True,True,0
