dataset,target,partition,event_id,event_type,severity,magnitude_sd,injected_magnitude,scale_used,start_index,end_index,duration_steps,start_time,end_time,group_id,seed
rico,B.RTD3,calibration_rule_block,0,bias_negative,1.0sd,1.0,-5.671182836418515,5.671182836418515,24,43,20,2024-05-08 14:02:00,2024-05-08 14:21:00,P5S1,92
rico,B.RTD3,calibration_rule_block,1,level_shift,2.0sd,2.0,11.34236567283703,5.671182836418515,114,128,15,2024-05-08 15:51:00,2024-05-08 16:05:00,P5S2,92
rico,B.RTD3,calibration_rule_block,2,bias_positive,1.0sd,1.0,5.671182836418515,5.671182836418515,150,169,20,2024-05-08 16:27:00,2024-05-08 16:46:00,P5S2,92
rico,B.RTD3,calibration_rule_block,3,stuck,stuck,0.0,0.0,5.671182836418515,212,231,20,2024-05-08 17:29:00,2024-05-08 17:48:00,P5S2,92
rico,B.RTD3,calibration_rule_block,4,dropout,dropout,0.0,0.0,5.671182836418515,408,422,15,2024-05-08 21:04:00,2024-05-08 21:18:00,P5S3,92
rico,B.RTD3,calibration_rule_block,5,bias_positive,2.0sd,2.0,11.34236567283703,5.671182836418515,558,577,20,2024-05-08 23:53:00,2024-05-09 00:12:00,P5S4,92
rico,B.RTD3,calibration_rule_block,6,level_shift,1.0sd,1.0,5.671182836418515,5.671182836418515,787,801,15,2024-05-09 04:01:00,2024-05-09 04:15:00,P5S5,92
rico,B.RTD3,calibration_rule_block,7,bias_negative,1.0sd,1.0,-5.671182836418515,5.671182836418515,914,933,20,2024-05-09 06:08:00,2024-05-09 06:27:00,P5S5,92
rico,B.RTD3,calibration_rule_block,8,bias_positive,2.0sd,2.0,11.34236567283703,5.671182836418515,994,1013,20,2024-05-09 07:47:00,2024-05-09 08:06:00,P5S6,92
rico,B.RTD3,calibration_rule_block,9,bias_negative,0.5sd,0.5,-2.8355914182092574,5.671182836418515,1209,1228,20,2024-05-09 11:41:00,2024-05-09 12:00:00,P5S7,92
rico,B.RTD3,calibration_rule_block,10,bias_positive,0.5sd,0.5,2.8355914182092574,5.671182836418515,1268,1287,20,2024-05-09 12:40:00,2024-05-09 12:59:00,P5S7,92
rico,B.RTD3,calibration_rule_block,11,bias_negative,0.5sd,0.5,-2.8355914182092574,5.671182836418515,1459,1478,20,2024-05-09 16:10:00,2024-05-09 16:29:00,P5S8,92
rico,B.RTD3,calibration_rule_block,12,level_shift,0.5sd,0.5,2.8355914182092574,5.671182836418515,1539,1553,15,2024-05-09 17:30:00,2024-05-09 17:44:00,P5S8,92
rico,B.RTD3,calibration_rule_block,13,spike,4.0sd,4.0,-22.68473134567406,5.671182836418515,1630,1630,1,2024-05-09 19:20:00,2024-05-09 19:20:00,P5S9,92
rico,B.RTD3,calibration_rule_block,14,level_shift,0.5sd,0.5,2.8355914182092574,5.671182836418515,1663,1677,15,2024-05-09 19:53:00,2024-05-09 20:07:00,P5S9,92
rico,B.RTD3,calibration_rule_block,15,bias_positive,0.5sd,0.5,2.8355914182092574,5.671182836418515,1769,1788,20,2024-05-09 21:39:00,2024-05-09 21:58:00,P5S9,92
rico,B.RTD3,calibration_rule_block,16,bias_negative,1.0sd,1.0,-5.671182836418515,5.671182836418515,1818,1837,20,2024-05-09 22:28:00,2024-05-09 22:47:00,P5S9,92
rico,B.RTD3,calibration_rule_block,17,drift,2.0sd,2.0,-11.34236567283703,5.671182836418515,1934,1963,30,2024-05-10 00:43:00,2024-05-10 01:12:00,P5S10,92
rico,B.RTD3,calibration_rule_block,18,drift,1.0sd,1.0,5.671182836418515,5.671182836418515,1976,2005,30,2024-05-10 01:25:00,2024-05-10 01:54:00,P5S10,92
rico,B.RTD3,calibration_rule_block,19,dropout,dropout,0.0,0.0,5.671182836418515,2057,2071,15,2024-05-10 02:46:00,2024-05-10 03:00:00,P5S10,92
