dataset,outer_fold,role,effective_events,minimum_distinct_onsets,supported_strata,missing_strata,required_strata,required_effective_onsets_per_stratum,block_length_steps,original_resampling_units,enough_original_units,structural_event_support,status,bounds_identifiable
pleia,0,inner0_selection,124,2,20,0,21,5,86,86,True,False,insufficient_design_support,not_measured_no_fitting
pleia,0,inner1_selection,123,3,20,0,21,5,86,86,True,False,insufficient_design_support,not_measured_no_fitting
pleia,0,outer_test,162,5,21,0,21,5,100,99,True,True,structural_support_only,not_measured_no_fitting
pleia,1,inner0_selection,93,2,15,0,21,5,75,74,True,False,insufficient_design_support,not_measured_no_fitting
pleia,1,inner1_selection,93,1,15,0,21,5,75,74,True,False,insufficient_design_support,not_measured_no_fitting
pleia,1,outer_test,163,2,20,0,21,5,100,99,True,False,insufficient_design_support,not_measured_no_fitting
pleia,2,inner0_selection,64,0,9,4,21,5,61,60,True,False,insufficient_design_support,not_measured_no_fitting
pleia,2,inner1_selection,64,0,9,4,21,5,61,60,True,False,insufficient_design_support,not_measured_no_fitting
pleia,2,outer_test,164,2,20,0,21,5,100,99,True,False,insufficient_design_support,not_measured_no_fitting
pleia_energy,0,inner0_selection,123,2,20,0,21,5,86,86,True,False,insufficient_design_support,not_measured_no_fitting
pleia_energy,0,inner1_selection,125,2,20,0,21,5,86,86,True,False,insufficient_design_support,not_measured_no_fitting
pleia_energy,0,outer_test,164,4,19,0,21,5,100,99,True,False,insufficient_design_support,not_measured_no_fitting
pleia_energy,1,inner0_selection,92,2,14,0,21,5,75,74,True,False,insufficient_design_support,not_measured_no_fitting
pleia_energy,1,inner1_selection,93,2,14,0,21,5,75,74,True,False,insufficient_design_support,not_measured_no_fitting
pleia_energy,1,outer_test,159,3,19,0,21,5,100,99,True,False,insufficient_design_support,not_measured_no_fitting
pleia_energy,2,inner0_selection,64,0,9,5,21,5,61,60,True,False,insufficient_design_support,not_measured_no_fitting
pleia_energy,2,inner1_selection,64,0,9,5,21,5,61,60,True,False,insufficient_design_support,not_measured_no_fitting
pleia_energy,2,outer_test,164,1,20,0,21,5,100,99,True,False,insufficient_design_support,not_measured_no_fitting
rico,0,inner0_selection,15,0,0,14,21,5,430,38,True,False,insufficient_design_support,not_measured_no_fitting
rico,0,inner1_selection,15,0,0,14,21,5,430,39,True,False,insufficient_design_support,not_measured_no_fitting
rico,0,outer_test,0,0,0,21,21,5,430,1,False,False,insufficient_design_support,not_measured_no_fitting
rico,1,inner0_selection,14,0,0,15,21,5,430,38,True,False,insufficient_design_support,not_measured_no_fitting
rico,1,inner1_selection,15,0,0,14,21,5,430,39,True,False,insufficient_design_support,not_measured_no_fitting
rico,1,outer_test,0,0,0,21,21,5,430,1,False,False,insufficient_design_support,not_measured_no_fitting
rico,2,inner0_selection,14,0,0,15,21,5,430,38,True,False,insufficient_design_support,not_measured_no_fitting
rico,2,inner1_selection,15,0,0,14,21,5,430,39,True,False,insufficient_design_support,not_measured_no_fitting
rico,2,outer_test,0,0,0,21,21,5,430,1,False,False,insufficient_design_support,not_measured_no_fitting
bdg2,0,inner0_selection,2547,34,21,0,21,5,161,10,True,True,structural_support_only,not_measured_no_fitting
bdg2,0,inner1_selection,2548,52,21,0,21,5,161,10,True,True,structural_support_only,not_measured_no_fitting
bdg2,0,outer_test,3248,50,21,0,21,5,186,10,True,True,structural_support_only,not_measured_no_fitting
bdg2,1,inner0_selection,1906,41,21,0,21,5,140,10,True,True,structural_support_only,not_measured_no_fitting
bdg2,1,inner1_selection,1924,38,21,0,21,5,140,10,True,True,structural_support_only,not_measured_no_fitting
bdg2,1,outer_test,3300,58,21,0,21,5,186,10,True,True,structural_support_only,not_measured_no_fitting
bdg2,2,inner0_selection,1268,16,21,0,21,5,114,10,True,True,structural_support_only,not_measured_no_fitting
bdg2,2,inner1_selection,1271,21,21,0,21,5,114,10,True,True,structural_support_only,not_measured_no_fitting
bdg2,2,outer_test,3389,53,21,0,21,5,186,10,True,True,structural_support_only,not_measured_no_fitting
