dataset,outer_fold,role,requested,attempted,placed,effective,null,rejected,asset_days,hostable_asset_days,requested_incidence,realised_incidence,requested_schedule_incidence,duration_steps,guard_steps,tolerance_steps,catalogue_seed,namespace_seed,catalogue_hash,zero_control
pleia,0,inner0_selection,26,26,26,25,1,0,51.59027777777778,51.59027777777778,0.5,0.4845874276484049,0.5039709247543411,6,36,6,42,5404829424049356316,f2544b1abef282be820cdb106bef46df8a44f2508e7aafb80b94e0d75e241949,False
pleia,0,inner0_selection,26,26,26,24,2,0,51.59027777777778,51.59027777777778,0.5,0.4652039305424687,0.5039709247543411,6,36,6,43,897163020594303539,039393554a5431d5ffeddb791f29a9d02058b8143a1d2eccf54092c2abde18e1,False
pleia,0,inner0_selection,26,26,26,26,0,0,51.59027777777778,51.59027777777778,0.5,0.5039709247543411,0.5039709247543411,6,36,6,44,7261828756908600269,34e88c788933762ed5ba3bb826772d03b405699e3520744035aaadd166f7c65c,False
pleia,0,inner0_selection,26,26,26,24,2,0,51.59027777777778,51.59027777777778,0.5,0.4652039305424687,0.5039709247543411,6,36,6,45,11801005757488157661,fe0a92981ee693af56c4a3e8dc5c8a48f29bb14775e51082fdfd936f4c8ed5c9,False
pleia,0,inner0_selection,26,26,26,25,1,0,51.59027777777778,51.59027777777778,0.5,0.4845874276484049,0.5039709247543411,6,36,6,46,11937854551528468256,7a3a382142ecbe0da7b3030b355cf39e935dd043e80fd00b02fa186e8c3e9b07,False
pleia,0,inner1_selection,26,26,26,26,0,0,51.59722222222222,51.59722222222222,0.5,0.5039030955585464,0.5039030955585464,6,36,6,42,5766157297113272675,0d3926fc74e4a50f294bc7497ee410196c0de40ed49d133e9bf8537e0dc6529a,False
pleia,0,inner1_selection,26,26,26,24,2,0,51.59722222222222,51.59722222222222,0.5,0.4651413189771198,0.5039030955585464,6,36,6,43,15232163015876217349,7ec7725daa12e3af4a9aa75746dc2d4b2f1e7e363828ddac3dd355e34e3cd427,False
pleia,0,inner1_selection,26,26,26,24,2,0,51.59722222222222,51.59722222222222,0.5,0.4651413189771198,0.5039030955585464,6,36,6,44,3520743893609226790,ef54e4d8ac028262db31579297e5368e1ee6ee1ff2d83ece02e3a259467d8538,False
pleia,0,inner1_selection,26,26,26,25,1,0,51.59722222222222,51.59722222222222,0.5,0.4845222072678331,0.5039030955585464,6,36,6,45,15021681639137412278,75bd4c36694e41ee33b8c196603de4810930f2412673ad140964289a743ff302,False
pleia,0,inner1_selection,26,26,26,24,2,0,51.59722222222222,51.59722222222222,0.5,0.4651413189771198,0.5039030955585464,6,36,6,46,110510088223517231,f9149a2ca0c4b4f469109ea427b04b6f4986355e0a9034b5ed4d466beae75c6f,False
