dataset,outer_fold,role,family,severity,requested,placed,effective,distinct_onsets,null,rejected,support,request_arithmetic
pleia,0,outer_test,random_missing,0.5,6,6,5,5,1,0,True,6
pleia,0,outer_test,random_missing,1.0,7,7,6,6,1,0,True,7
pleia,0,outer_test,random_missing,2.0,8,8,6,6,2,0,True,8
pleia,0,outer_test,block_missing,0.5,9,9,9,9,0,0,True,9
pleia,0,outer_test,block_missing,1.0,10,10,10,10,0,0,True,10
pleia,0,outer_test,block_missing,2.0,10,10,10,10,0,0,True,10
pleia,0,outer_test,stuck,0.5,10,10,9,9,1,0,True,10
pleia,0,outer_test,stuck,1.0,10,10,8,8,2,0,True,10
pleia,0,outer_test,stuck,2.0,10,10,9,9,1,0,True,10
pleia,0,outer_test,dropout,0.5,10,10,10,10,0,0,True,10
pleia,0,outer_test,dropout,1.0,10,10,10,10,0,0,True,10
pleia,0,outer_test,dropout,2.0,10,10,10,10,0,0,True,10
pleia,0,outer_test,bias,0.5,10,10,10,10,0,0,True,10
pleia,0,outer_test,bias,1.0,9,9,9,9,0,0,True,9
pleia,0,outer_test,bias,2.0,8,8,8,8,0,0,True,8
pleia,0,outer_test,level_shift,0.5,7,7,7,7,0,0,True,7
pleia,0,outer_test,level_shift,1.0,6,6,6,6,0,0,True,6
pleia,0,outer_test,level_shift,2.0,5,5,5,5,0,0,True,5
pleia,0,outer_test,drift,0.5,5,5,5,5,0,0,True,5
pleia,0,outer_test,drift,1.0,5,5,5,5,0,0,True,5
pleia,0,outer_test,drift,2.0,5,5,5,5,0,0,True,5
pleia,0,inner0_selection,random_missing,0.5,6,6,2,2,4,0,False,6
pleia,0,inner0_selection,random_missing,1.0,7,7,5,5,2,0,True,7
pleia,0,inner0_selection,random_missing,2.0,8,8,8,8,0,0,True,8
pleia,0,inner0_selection,block_missing,0.5,9,9,9,9,0,0,True,9
pleia,0,inner0_selection,block_missing,1.0,10,10,10,10,0,0,True,10
pleia,0,inner0_selection,block_missing,2.0,9,9,9,9,0,0,True,9
pleia,0,inner0_selection,stuck,0.5,8,8,8,8,0,0,True,8
