row_id,group_id,target_time,observed
synthetic_test_0,original,2020-01-01 00:00:00,0
synthetic_test_1,original,2020-01-01 00:10:00,0
synthetic_test_2,original,2020-01-01 00:20:00,0
synthetic_test_3,original,2020-01-01 00:30:00,0
synthetic_test_4,original,2020-01-01 00:40:00,0
synthetic_test_5,original,2020-01-01 00:50:00,0
synthetic_test_6,original,2020-01-01 01:00:00,600
synthetic_test_7,original,2020-01-01 01:10:00,2
synthetic_test_8,original,2020-01-01 01:20:00,0
synthetic_test_9,original,2020-01-01 01:30:00,0
synthetic_test_10,original,2020-01-01 01:40:00,0
synthetic_test_11,original,2020-01-01 01:50:00,0
synthetic_test_12,original,2020-01-01 02:00:00,0
synthetic_test_13,original,2020-01-01 02:10:00,0
synthetic_test_14,original,2020-01-01 02:20:00,3
synthetic_test_15,original,2020-01-01 02:30:00,2
