dataset,seed,outer_fold,attempted,placed,rejected,requested_incidence_per_asset_day,realised_incidence_per_asset_day,viability_floor_applied
pleia,42,0,34,34,0,0.5,0.4941960230140305,False
pleia,42,1,26,26,0,0.5,0.5039030955585464,False
pleia,42,2,17,17,0,0.5,0.494146144529673,False
pleia,43,0,34,34,0,0.5,0.4941960230140305,False
pleia,43,1,26,26,0,0.5,0.5039030955585464,False
pleia,43,2,17,17,0,0.5,0.494146144529673,False
pleia,44,0,34,34,0,0.5,0.4941960230140305,False
pleia,44,1,26,26,0,0.5,0.5039030955585464,False
pleia,44,2,17,17,0,0.5,0.494146144529673,False
pleia,45,0,34,34,0,0.5,0.4941960230140305,False
pleia,45,1,26,26,0,0.5,0.5039030955585464,False
pleia,45,2,17,17,0,0.5,0.494146144529673,False
pleia,46,0,34,34,0,0.5,0.4941960230140305,False
pleia,46,1,26,26,0,0.5,0.5039030955585464,False
pleia,46,2,17,17,0,0.5,0.494146144529673,False
