dataset,seed,outer_fold,attempted,placed,rejected,requested_incidence_per_asset_day,realised_incidence_per_asset_day,viability_floor_applied
rico,42,0,8,8,0,0.5,1.002436477549601,True
rico,42,1,8,8,0,0.5,1.0220920947564558,True
rico,42,2,8,8,0,0.5,1.0220920947564558,True
rico,43,0,8,8,0,0.5,1.002436477549601,True
rico,43,1,8,8,0,0.5,1.0220920947564558,True
rico,43,2,8,8,0,0.5,1.0220920947564558,True
rico,44,0,8,8,0,0.5,1.002436477549601,True
rico,44,1,8,8,0,0.5,1.0220920947564558,True
rico,44,2,8,8,0,0.5,1.0220920947564558,True
rico,45,0,8,8,0,0.5,1.002436477549601,True
rico,45,1,8,8,0,0.5,1.0220920947564558,True
rico,45,2,8,8,0,0.5,1.0220920947564558,True
rico,46,0,8,8,0,0.5,1.002436477549601,True
rico,46,1,8,8,0,0.5,1.0220920947564558,True
rico,46,2,8,8,0,0.5,1.0220920947564558,True
