priority,dataset,horizon,outer_fold,model_seed,models,argv,output,command_exists,prerequisite,learned_fit_invocations,scenario_low_model_seconds,scenario_high_model_seconds,estimate_basis,fit_n,original_priority,updated_low_model_seconds,updated_high_model_seconds
3,pleia_energy,1,2,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,55.93856703201996,513.0129899572612,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",14858,4,106.62340043347808,639.7404026008685
4,pleia_energy,3,2,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,55.9272723960598,512.9094067717805,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",14855,5,106.60187195041843,639.6112317025105
5,pleia_energy,6,2,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,55.90844800279286,512.7367681293127,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",14850,6,106.56599114531899,639.3959468719139
6,pleia_energy,1,1,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""1"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f1_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f1_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,83.91538030533671,769.5885403928788,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",22289,7,159.9494529722569,959.6967178335415
7,pleia_energy,3,1,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""1"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f1_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f1_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,83.90032079072316,769.4504294789047,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",22285,8,159.92074832817735,959.5244899690641
8,pleia_energy,6,1,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""1"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f1_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f1_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,83.88149639745623,769.2777908364369,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",22280,9,159.88486752307793,959.3092051384675
9,pleia_energy,3,0,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""0"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f0_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f0_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,111.87336918538652,1025.9914521860287,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",29715,10,213.23962470593628,1279.4377482356176
10,pleia_energy,6,0,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""0"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f0_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f0_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,111.8545447921196,1025.818813543561,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",29710,11,213.20374390083686,1279.222463405021
11,pleia_energy,1,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f2_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f2_s43_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,55.93856703201996,513.0129899572612,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",14858,12,106.62340043347808,639.7404026008685
12,pleia_energy,3,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f2_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f2_s43_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,55.9272723960598,512.9094067717805,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",14855,13,106.60187195041843,639.6112317025105
