log,command,started_utc,ended_utc,seconds,exit_status,logger_pid,child_pid,learned_fits
smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2.log.json,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""bdg2"", ""--horizon"", ""1"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--design-dir"", ""protocols/matched_forecasting005/bdg2_h1_f2_s42_v2"", ""--out"", ""outputs/matched_forecasting005/bdg2_h1_f2_s42_v2""]",2026-09-13T16:55:19.094149+00:00,2026-09-13T17:21:46.444697+00:00,1587.3503964999982,0,22552,22132,10
smart_building_conformal/outputs/matched_forecasting005/rico_bdg2_validation_v1/bdg2_h1_f2_s42_v2_resume.log.json,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""resume"", ""--forbid-fits"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""bdg2"", ""--horizon"", ""1"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--design-dir"", ""protocols/matched_forecasting005/bdg2_h1_f2_s42_v2"", ""--out"", ""outputs/matched_forecasting005/bdg2_h1_f2_s42_v2"", ""--receipt"", ""outputs/matched_forecasting005/rico_bdg2_validation_v1/bdg2_h1_f2_s42_v2_resume.json""]",2026-09-13T17:23:14.199585+00:00,2026-09-13T17:23:38.848442+00:00,24.64343419999932,0,9232,29332,0
smart_building_conformal/outputs/matched_forecasting005/rico_bdg2_validation_v1/bdg2_h1_f2_s42_v2_validate.log.json,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""validate"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""bdg2"", ""--horizon"", ""1"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--design-dir"", ""protocols/matched_forecasting005/bdg2_h1_f2_s42_v2"", ""--out"", ""outputs/matched_forecasting005/bdg2_h1_f2_s42_v2"", ""--receipt"", ""outputs/matched_forecasting005/bdg2_h1_f2_s42_v2_audit""]",2026-09-13T17:22:28.906455+00:00,2026-09-13T17:23:14.102938+00:00,45.197543100002804,0,2528,15132,0
smart_building_conformal/outputs/matched_forecasting005/rico_bdg2_validation_v1/freeze_bdg2.log.json,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""freeze"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""bdg2"", ""--horizon"", ""1"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--authorization"", ""configs/matched_forecasting005_rico_bdg2_authorization.json""]",2026-09-13T16:43:54.160795+00:00,2026-09-13T16:44:20.169814+00:00,26.008689900001627,0,29036,28596,0
smart_building_conformal/outputs/matched_forecasting005/rico_bdg2_validation_v1/freeze_bdg2_v2.log.json,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""freeze"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""bdg2"", ""--horizon"", ""1"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--authorization"", ""configs/matched_forecasting005_rico_bdg2_authorization.json"", ""--design-dir"", ""protocols/matched_forecasting005/bdg2_h1_f2_s42_v2""]",2026-09-13T16:45:50.240294+00:00,2026-09-13T16:46:13.965805+00:00,23.725812899996527,0,27060,23568,0
smart_building_conformal/outputs/matched_forecasting005/rico_bdg2_validation_v1/freeze_rico.log.json,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""freeze"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""rico"", ""--horizon"", ""5"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--authorization"", ""configs/matched_forecasting005_rico_bdg2_authorization.json""]",2026-09-13T16:43:33.695400+00:00,2026-09-13T16:43:53.738166+00:00,20.04295899999852,0,11096,24096,0
smart_building_conformal/outputs/matched_forecasting005/rico_bdg2_validation_v1/freeze_rico_v2.log.json,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""freeze"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""rico"", ""--horizon"", ""5"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--authorization"", ""configs/matched_forecasting005_rico_bdg2_authorization.json"", ""--design-dir"", ""protocols/matched_forecasting005/rico_h5_f2_s42_v2""]",2026-09-13T16:45:10.755215+00:00,2026-09-13T16:45:26.408626+00:00,15.653433200001018,0,25676,19292,0
smart_building_conformal/outputs/matched_forecasting005/rico_bdg2_validation_v1/joint_preflight.log.json,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""review/matched_rico_bdg2_20260914/preflight.py"", ""verify""]",2026-09-13T16:46:35.577123+00:00,2026-09-13T16:49:17.466664+00:00,161.89020519999758,4294967295,28112,17588,0
smart_building_conformal/outputs/matched_forecasting005/rico_bdg2_validation_v1/joint_preflight_v2.log.json,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""../review/matched_rico_bdg2_20260914/preflight.py"", ""verify""]",2026-09-13T16:49:17.807207+00:00,2026-09-13T16:50:15.031279+00:00,57.2246163000018,0,20492,7680,0
smart_building_conformal/outputs/matched_forecasting005/rico_bdg2_validation_v1/readiness_bdg2_v2.log.json,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""readiness"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""bdg2"", ""--horizon"", ""1"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--authorization"", ""configs/matched_forecasting005_rico_bdg2_authorization.json"", ""--design-dir"", ""protocols/matched_forecasting005/bdg2_h1_f2_s42_v2""]",2026-09-13T16:46:14.062042+00:00,2026-09-13T16:46:36.291982+00:00,22.22967570000037,0,22180,19264,0
