role,n,groups,asset_days,membership_hash
B0,26003,10,1083.4583333333333,ce8eedd2b2634019b5fce1dc7c17582898eed35f908ce6a960e8bf00f8551df0
B1,26042,10,1085.0833333333333,f4fd514debb44123e71ca94280c2f9ca97e907185dcba0238a6d281df72e06a4
B2,26044,10,1085.1666666666665,f6f04a932b1bba88499d8dfb7766f7c71f2c7867e110640a3d22ffa834360404
B3,26048,10,1085.3333333333333,d5ff5f3e8e1f7ce77c5f7fa5532beba4fc1d2b4ad660cfc85162d616cc68fdbd
final_fit,104137,10,4339.041666666666,b601e980ef54e8df7f3dd1da8b22a79e30c9ff05aca9b0c9045feaf4c6774126
final_calibration,34645,10,1443.5416666666665,75d7d8ce96b7e70fb5638f3c1bda4264132650db11204918cd7f80074a3b76d6
outer_test,34520,10,1438.3333333333333,11b730bda703138c20b930dd3eb8c8fe84c1d69b471ddf44f595b62aa0ed7b2f
inner0_train,26003,10,1083.4583333333333,ce8eedd2b2634019b5fce1dc7c17582898eed35f908ce6a960e8bf00f8551df0
inner0_calibration,26042,10,1085.0833333333333,f4fd514debb44123e71ca94280c2f9ca97e907185dcba0238a6d281df72e06a4
inner0_selection,26044,10,1085.1666666666665,f6f04a932b1bba88499d8dfb7766f7c71f2c7867e110640a3d22ffa834360404
inner1_train,52045,10,2168.5416666666665,cc2e6dae5dabb7c9fd9574734abd250ea16ec26ba3461ed596543641aac347db
inner1_calibration,26044,10,1085.1666666666665,f6f04a932b1bba88499d8dfb7766f7c71f2c7867e110640a3d22ffa834360404
inner1_selection,26048,10,1085.3333333333333,d5ff5f3e8e1f7ce77c5f7fa5532beba4fc1d2b4ad660cfc85162d616cc68fdbd
