context_id,ordinal,stage,canonical_stage,alias,realization_hash,family,severity,replicate,effective,null
6cf2676943302e77fdac,0,context_6cf2676943302e77fdac_v0,context_6cf2676943302e77fdac_v0,False,e3bee55ffde27e3030bc46c03c5413465bbeff99d6ed2083baa57a4aa371ac5d,identity,0.0,0,False,True
6cf2676943302e77fdac,1,context_6cf2676943302e77fdac_v1,context_6cf2676943302e77fdac_v1,False,52e66d2417f060ab4d80b81355dde78108f23ca725a351150453b33cbfd0f8b3,random_missing,0.5,42,True,False
6cf2676943302e77fdac,2,context_6cf2676943302e77fdac_v2,context_6cf2676943302e77fdac_v2,False,2c38562d54ca975f7814953940a64408c82c8c515bdb91b9a3f73f8ce7d16a0f,random_missing,0.5,43,True,False
6cf2676943302e77fdac,3,context_6cf2676943302e77fdac_v3,context_6cf2676943302e77fdac_v3,False,9bad4820c694131764adc90b1323f4a5b286999017903d4095f598c3a8c1452a,random_missing,1.0,42,True,False
6cf2676943302e77fdac,4,context_6cf2676943302e77fdac_v4,context_6cf2676943302e77fdac_v4,False,34e22025aa3e003b8085933442764ea079079a3e2206e29fe0b7fa4e2afe962d,random_missing,1.0,43,True,False
6cf2676943302e77fdac,5,context_6cf2676943302e77fdac_v5,context_6cf2676943302e77fdac_v5,False,456e155307e1df0f336557b8eb2e221a9bf6c576eb09d2595c1a718b4212cd9b,random_missing,2.0,42,True,False
6cf2676943302e77fdac,6,context_6cf2676943302e77fdac_v6,context_6cf2676943302e77fdac_v6,False,8d461c3b8d4959c90b8c4455c597afc0f631184ccba02509dbb681c5dc421ef0,random_missing,2.0,43,True,False
6cf2676943302e77fdac,7,context_6cf2676943302e77fdac_v7,context_6cf2676943302e77fdac_v7,False,132b6b287732900e0ea212bd9ebb14883eb38bcb4882f61024510d167eb4cc23,block_missing,0.5,42,True,False
6cf2676943302e77fdac,8,context_6cf2676943302e77fdac_v8,context_6cf2676943302e77fdac_v7,True,132b6b287732900e0ea212bd9ebb14883eb38bcb4882f61024510d167eb4cc23,block_missing,0.5,43,True,False
6cf2676943302e77fdac,9,context_6cf2676943302e77fdac_v9,context_6cf2676943302e77fdac_v9,False,69def1d0405f46b8b3b0a5580d5a29950878ef30c637b1a45287e0da6391ba4f,block_missing,1.0,42,True,False
6cf2676943302e77fdac,10,context_6cf2676943302e77fdac_v10,context_6cf2676943302e77fdac_v9,True,69def1d0405f46b8b3b0a5580d5a29950878ef30c637b1a45287e0da6391ba4f,block_missing,1.0,43,True,False
6cf2676943302e77fdac,11,context_6cf2676943302e77fdac_v11,context_6cf2676943302e77fdac_v11,False,e03715b76cc87ef610a5086411be479c22894790161e33ee9428b93f549c816c,block_missing,2.0,42,True,False
6cf2676943302e77fdac,12,context_6cf2676943302e77fdac_v12,context_6cf2676943302e77fdac_v11,True,e03715b76cc87ef610a5086411be479c22894790161e33ee9428b93f549c816c,block_missing,2.0,43,True,False
6cf2676943302e77fdac,13,context_6cf2676943302e77fdac_v13,context_6cf2676943302e77fdac_v13,False,22828ea39dc0dfdddc97cf0b78cb4032a2b8be7d21eb5232a0c0cdce2628cde6,stuck,0.5,42,True,False
6cf2676943302e77fdac,14,context_6cf2676943302e77fdac_v14,context_6cf2676943302e77fdac_v13,True,22828ea39dc0dfdddc97cf0b78cb4032a2b8be7d21eb5232a0c0cdce2628cde6,stuck,0.5,43,True,False
6cf2676943302e77fdac,15,context_6cf2676943302e77fdac_v15,context_6cf2676943302e77fdac_v15,False,6895cb408001e3926347a46c0f264e2740c347a48e236a75feb39d855995bf3f,stuck,1.0,42,True,False
6cf2676943302e77fdac,16,context_6cf2676943302e77fdac_v16,context_6cf2676943302e77fdac_v15,True,6895cb408001e3926347a46c0f264e2740c347a48e236a75feb39d855995bf3f,stuck,1.0,43,True,False
6cf2676943302e77fdac,17,context_6cf2676943302e77fdac_v17,context_6cf2676943302e77fdac_v17,False,fe67d2edd7a49f5d4a9f100d53b30900bfffd6976129f4509802d82202514a4f,stuck,2.0,42,True,False
6cf2676943302e77fdac,18,context_6cf2676943302e77fdac_v18,context_6cf2676943302e77fdac_v17,True,fe67d2edd7a49f5d4a9f100d53b30900bfffd6976129f4509802d82202514a4f,stuck,2.0,43,True,False
6cf2676943302e77fdac,19,context_6cf2676943302e77fdac_v19,context_6cf2676943302e77fdac_v19,False,49867bfcfea69431c96c1061df6ee5a2749a39f3e19092306b704f43238f4346,dropout,0.5,42,True,False
6cf2676943302e77fdac,20,context_6cf2676943302e77fdac_v20,context_6cf2676943302e77fdac_v19,True,49867bfcfea69431c96c1061df6ee5a2749a39f3e19092306b704f43238f4346,dropout,0.5,43,True,False
6cf2676943302e77fdac,21,context_6cf2676943302e77fdac_v21,context_6cf2676943302e77fdac_v21,False,3ecfd4cdb46735204b85f2247048335cd40a5e624a11772f1063eedb3f71d394,dropout,1.0,42,True,False
6cf2676943302e77fdac,22,context_6cf2676943302e77fdac_v22,context_6cf2676943302e77fdac_v21,True,3ecfd4cdb46735204b85f2247048335cd40a5e624a11772f1063eedb3f71d394,dropout,1.0,43,True,False
6cf2676943302e77fdac,23,context_6cf2676943302e77fdac_v23,context_6cf2676943302e77fdac_v23,False,9481c3e52efa19a151ffb0e8697761cd5db386247cd231e7f120676b8bb7bd4f,dropout,2.0,42,True,False
6cf2676943302e77fdac,24,context_6cf2676943302e77fdac_v24,context_6cf2676943302e77fdac_v23,True,9481c3e52efa19a151ffb0e8697761cd5db386247cd231e7f120676b8bb7bd4f,dropout,2.0,43,True,False
6cf2676943302e77fdac,25,context_6cf2676943302e77fdac_v25,context_6cf2676943302e77fdac_v25,False,90b34ec5b5638f111495eedd36fee6d72c0bd25c8841cfadae1d0377a9506ed6,bias,0.5,42,True,False
6cf2676943302e77fdac,26,context_6cf2676943302e77fdac_v26,context_6cf2676943302e77fdac_v26,False,8fd90d3afe0a5e2574385d3a0860d742ffc82611f7951cdd92cd6f6641dfec02,bias,0.5,43,True,False
6cf2676943302e77fdac,27,context_6cf2676943302e77fdac_v27,context_6cf2676943302e77fdac_v27,False,fcf448f43461cbd6e8b4312bc55b743c1409a66dd8af3621370b35f86ffe5fa5,bias,1.0,42,True,False
6cf2676943302e77fdac,28,context_6cf2676943302e77fdac_v28,context_6cf2676943302e77fdac_v28,False,0dc011eafbd1cf2981faeb8fb8ee5364582e17237e8c39d3757f728373010e65,bias,1.0,43,True,False
6cf2676943302e77fdac,29,context_6cf2676943302e77fdac_v29,context_6cf2676943302e77fdac_v29,False,c1e28c51022cd85f8ae583c71d7b3fd4e61d98ec7b2cb9b474a00dea24a52fe9,bias,2.0,42,True,False
6cf2676943302e77fdac,30,context_6cf2676943302e77fdac_v30,context_6cf2676943302e77fdac_v30,False,56b2e4c7b07c949ead7a65e876526dc2cfe273ad33b4bcf2adc4b2eee12da553,bias,2.0,43,True,False
6cf2676943302e77fdac,31,context_6cf2676943302e77fdac_v31,context_6cf2676943302e77fdac_v31,False,1b2d5afcea03a2e00b55b3d11af9fab7a876f3434b2e37980a2059badc7d54d2,level_shift,0.5,42,True,False
6cf2676943302e77fdac,32,context_6cf2676943302e77fdac_v32,context_6cf2676943302e77fdac_v32,False,7ffeee10b4537aa6d2a7127f21c1e2d1b6c9a7422a8818b30a7aca2754712ed6,level_shift,0.5,43,True,False
6cf2676943302e77fdac,33,context_6cf2676943302e77fdac_v33,context_6cf2676943302e77fdac_v33,False,df5284dad5002a9ea2308dd7fed3405a9a43aa9b12741679bb3c66e4019c5684,level_shift,1.0,42,True,False
6cf2676943302e77fdac,34,context_6cf2676943302e77fdac_v34,context_6cf2676943302e77fdac_v34,False,5bdf0641d08b0de9281a330e0287c246ba17867b726f38e9f10de79babfffa06,level_shift,1.0,43,True,False
6cf2676943302e77fdac,35,context_6cf2676943302e77fdac_v35,context_6cf2676943302e77fdac_v35,False,f657120835cbaad2ac49bac4b51adee42dd227322a24ca80eb6b4d32b29d1dbb,level_shift,2.0,42,True,False
6cf2676943302e77fdac,36,context_6cf2676943302e77fdac_v36,context_6cf2676943302e77fdac_v36,False,78169ddbbbadeb5f6f683f8642e947917527bd8c3829efcf2e9ee780627de674,level_shift,2.0,43,True,False
6cf2676943302e77fdac,37,context_6cf2676943302e77fdac_v37,context_6cf2676943302e77fdac_v37,False,dca68e6b34b62d6a0019faef1f08ba9d3286866dfc532a98a07ac51da890249d,drift,0.5,42,True,False
6cf2676943302e77fdac,38,context_6cf2676943302e77fdac_v38,context_6cf2676943302e77fdac_v38,False,b81027c773acc9e12b10dcd50aeb15c8b28e8cd0aac0d327f345d0c1d185a70d,drift,0.5,43,True,False
6cf2676943302e77fdac,39,context_6cf2676943302e77fdac_v39,context_6cf2676943302e77fdac_v39,False,7bdbd838bf6bc1b53cd1b2d3d13d2601d570d21d9b87a472ae1e0441b4e5b598,drift,1.0,42,True,False
6cf2676943302e77fdac,40,context_6cf2676943302e77fdac_v40,context_6cf2676943302e77fdac_v40,False,2b4fc2fa710aa278759beff7b9bb6e1f7fb7edae7b617541fb6d1794efd7dd12,drift,1.0,43,True,False
6cf2676943302e77fdac,41,context_6cf2676943302e77fdac_v41,context_6cf2676943302e77fdac_v41,False,ab7d8ff16c021babd15b3650b120f8e92366c2726dde010b5f32efcf72c82388,drift,2.0,42,True,False
6cf2676943302e77fdac,42,context_6cf2676943302e77fdac_v42,context_6cf2676943302e77fdac_v42,False,ca728afe75b4ab058ba7320cabc9b53a6469339fd886abc97be25ad4d196c6c4,drift,2.0,43,True,False
ebc83f819b74a5d66dcb,0,context_ebc83f819b74a5d66dcb_v0,context_ebc83f819b74a5d66dcb_v0,False,836662c901a7bc0e69ad10f630efe9e88c96f85d51be929f8a0947d76669ebad,identity,0.0,0,False,True
ebc83f819b74a5d66dcb,1,context_ebc83f819b74a5d66dcb_v1,context_ebc83f819b74a5d66dcb_v1,False,44422e27fd9aca9d338aaccfa1c9df60b38f5aa077d4630c87a980df6ab59116,random_missing,0.5,42,True,False
