dataset,target,partition,event_id,event_type,severity,magnitude_sd,injected_magnitude,scale_used,start_index,end_index,duration_steps,start_time,end_time,group_id,seed
pleia,B-room11-V2,calibration_rule_block,0,bias_negative,1.0sd,1.0,-4.469721110207918,4.469721110207918,16,33,18,2021-09-10 20:10:00,2021-09-10 23:00:00,,92
pleia,B-room11-V2,calibration_rule_block,1,bias_positive,2.0sd,2.0,8.939442220415836,4.469721110207918,62,79,18,2021-09-11 03:50:00,2021-09-11 06:40:00,,92
pleia,B-room11-V2,calibration_rule_block,2,drift,1.0sd,1.0,-4.469721110207918,4.469721110207918,109,144,36,2021-09-11 11:40:00,2021-09-11 17:30:00,,92
pleia,B-room11-V2,calibration_rule_block,3,bias_positive,1.0sd,1.0,4.469721110207918,4.469721110207918,158,175,18,2021-09-11 19:50:00,2021-09-11 22:40:00,,92
pleia,B-room11-V2,calibration_rule_block,4,dropout,dropout,0.0,0.0,4.469721110207918,228,239,12,2021-09-12 07:30:00,2021-09-12 09:20:00,,92
pleia,B-room11-V2,calibration_rule_block,5,bias_positive,0.5sd,0.5,2.234860555103959,4.469721110207918,310,327,18,2021-09-12 21:10:00,2021-09-13 00:00:00,,92
pleia,B-room11-V2,calibration_rule_block,6,dropout,dropout,0.0,0.0,4.469721110207918,447,458,12,2021-09-13 20:00:00,2021-09-13 21:50:00,,92
pleia,B-room11-V2,calibration_rule_block,7,bias_positive,2.0sd,2.0,8.939442220415836,4.469721110207918,615,632,18,2021-09-15 00:00:00,2021-09-15 02:50:00,,92
pleia,B-room11-V2,calibration_rule_block,8,bias_negative,2.0sd,2.0,-8.939442220415836,4.469721110207918,812,829,18,2021-09-16 08:50:00,2021-09-16 11:40:00,,92
pleia,B-room11-V2,calibration_rule_block,9,level_shift,2.0sd,2.0,8.939442220415836,4.469721110207918,872,883,12,2021-09-16 18:50:00,2021-09-16 20:40:00,,92
pleia,B-room11-V2,calibration_rule_block,10,bias_negative,1.0sd,1.0,-4.469721110207918,4.469721110207918,1014,1031,18,2021-09-17 18:30:00,2021-09-17 21:20:00,,92
pleia,B-room11-V2,calibration_rule_block,11,bias_positive,2.0sd,2.0,8.939442220415836,4.469721110207918,1103,1120,18,2021-09-18 09:20:00,2021-09-18 12:10:00,,92
pleia,B-room11-V2,calibration_rule_block,12,level_shift,2.0sd,2.0,8.939442220415836,4.469721110207918,1314,1325,12,2021-09-19 20:30:00,2021-09-19 22:20:00,,92
pleia,B-room11-V2,calibration_rule_block,13,bias_negative,0.5sd,0.5,-2.234860555103959,4.469721110207918,1344,1361,18,2021-09-20 01:30:00,2021-09-20 04:20:00,,92
pleia,B-room11-V2,calibration_rule_block,14,bias_positive,0.5sd,0.5,2.234860555103959,4.469721110207918,1411,1428,18,2021-09-20 12:40:00,2021-09-20 15:30:00,,92
pleia,B-room11-V2,calibration_rule_block,15,bias_negative,0.5sd,0.5,-2.234860555103959,4.469721110207918,1625,1642,18,2021-09-22 00:20:00,2021-09-22 03:10:00,,92
pleia,B-room11-V2,calibration_rule_block,16,level_shift,0.5sd,0.5,2.234860555103959,4.469721110207918,1715,1726,12,2021-09-22 15:20:00,2021-09-22 17:10:00,,92
pleia,B-room11-V2,calibration_rule_block,17,spike,4.0sd,4.0,-17.878884440831673,4.469721110207918,1815,1815,1,2021-09-23 08:00:00,2021-09-23 08:00:00,,92
pleia,B-room11-V2,calibration_rule_block,18,level_shift,1.0sd,1.0,4.469721110207918,4.469721110207918,1855,1866,12,2021-09-23 14:40:00,2021-09-23 16:30:00,,92
pleia,B-room11-V2,calibration_rule_block,19,bias_positive,0.5sd,0.5,2.234860555103959,4.469721110207918,1973,1990,18,2021-09-24 10:20:00,2021-09-24 13:10:00,,92
pleia,B-room11-V2,calibration_rule_block,20,bias_negative,2.0sd,2.0,-8.939442220415836,4.469721110207918,1998,2015,18,2021-09-24 14:30:00,2021-09-24 17:20:00,,92
pleia,B-room11-V2,calibration_rule_block,21,bias_negative,1.0sd,1.0,-4.469721110207918,4.469721110207918,2028,2045,18,2021-09-24 19:30:00,2021-09-24 22:20:00,,92
pleia,B-room11-V2,calibration_rule_block,22,drift,2.0sd,2.0,8.939442220415836,4.469721110207918,2154,2189,36,2021-09-25 16:30:00,2021-09-25 22:20:00,,92
pleia,B-room11-V2,calibration_rule_block,23,drift,2.0sd,2.0,8.939442220415836,4.469721110207918,2202,2237,36,2021-09-26 00:30:00,2021-09-26 06:20:00,,92
pleia,B-room11-V2,calibration_rule_block,24,stuck,stuck,0.0,0.0,4.469721110207918,2326,2343,18,2021-09-26 21:10:00,2021-09-27 00:00:00,,92
pleia,B-room11-V2,calibration_rule_block,25,level_shift,0.5sd,0.5,2.234860555103959,4.469721110207918,2351,2362,12,2021-09-27 01:20:00,2021-09-27 03:10:00,,92
pleia,B-room11-V2,calibration_rule_block,26,spike,4.0sd,4.0,-17.878884440831673,4.469721110207918,2427,2427,1,2021-09-27 14:00:00,2021-09-27 14:00:00,,92
pleia,B-room11-V2,calibration_rule_block,27,bias_negative,0.5sd,0.5,-2.234860555103959,4.469721110207918,2542,2559,18,2021-09-28 09:10:00,2021-09-28 12:00:00,,92
pleia,B-room11-V2,calibration_rule_block,28,stuck,stuck,0.0,0.0,4.469721110207918,2611,2628,18,2021-09-28 20:40:00,2021-09-28 23:30:00,,92
pleia,B-room11-V2,calibration_rule_block,29,level_shift,1.0sd,1.0,4.469721110207918,4.469721110207918,2749,2760,12,2021-09-29 19:40:00,2021-09-29 21:30:00,,92
pleia,B-room11-V2,calibration_rule_block,30,bias_positive,1.0sd,1.0,4.469721110207918,4.469721110207918,2790,2807,18,2021-09-30 02:30:00,2021-09-30 05:20:00,,92
pleia,B-room11-V2,calibration_rule_block,31,drift,1.0sd,1.0,4.469721110207918,4.469721110207918,3017,3052,36,2021-10-01 16:20:00,2021-10-01 22:10:00,,92
pleia,B-room11-V2,calibration_rule_block,32,level_shift,0.5sd,0.5,2.234860555103959,4.469721110207918,3093,3104,12,2021-10-02 05:00:00,2021-10-02 06:50:00,,92
pleia,B-room11-V2,calibration_rule_block,33,drift,1.0sd,1.0,-4.469721110207918,4.469721110207918,3137,3172,36,2021-10-02 12:20:00,2021-10-02 18:10:00,,92
pleia,B-room11-V2,calibration_rule_block,34,bias_negative,2.0sd,2.0,-8.939442220415836,4.469721110207918,3207,3224,18,2021-10-03 00:00:00,2021-10-03 02:50:00,,92
pleia,B-room11-V2,calibration_rule_block,35,bias_positive,1.0sd,1.0,4.469721110207918,4.469721110207918,3447,3464,18,2021-10-04 16:00:00,2021-10-04 18:50:00,,92
pleia,B-room11-V2,calibration_rule_block,36,drift,2.0sd,2.0,8.939442220415836,4.469721110207918,3543,3578,36,2021-10-05 08:00:00,2021-10-05 13:50:00,,92
pleia,B-room11-V2,calibration_rule_block,37,level_shift,1.0sd,1.0,4.469721110207918,4.469721110207918,3605,3616,12,2021-10-05 18:20:00,2021-10-05 20:10:00,,92
pleia,B-room11-V2,calibration_rule_block,38,stuck,stuck,0.0,0.0,4.469721110207918,3809,3826,18,2021-10-07 04:20:00,2021-10-07 07:10:00,,92
pleia,B-room11-V2,calibration_rule_block,39,spike,4.0sd,4.0,-17.878884440831673,4.469721110207918,3874,3874,1,2021-10-07 15:10:00,2021-10-07 15:10:00,,92
pleia,B-room11-V2,calibration_rule_block,40,dropout,dropout,0.0,0.0,4.469721110207918,3944,3955,12,2021-10-08 02:50:00,2021-10-08 04:40:00,,92
pleia,B-room11-V2,calibration_rule_block,41,level_shift,2.0sd,2.0,8.939442220415836,4.469721110207918,4009,4020,12,2021-10-08 13:40:00,2021-10-08 15:30:00,,92
pleia,B-room11-V2,test,0,spike,4.0sd,4.0,17.878884440831673,4.469721110207918,164,164,1,2021-10-09 22:40:00,2021-10-09 22:40:00,,142
pleia,B-room11-V2,test,1,bias_negative,1.0sd,1.0,-4.469721110207918,4.469721110207918,204,221,18,2021-10-10 05:20:00,2021-10-10 08:10:00,,142
pleia,B-room11-V2,test,2,spike,4.0sd,4.0,-17.878884440831673,4.469721110207918,231,231,1,2021-10-10 09:50:00,2021-10-10 09:50:00,,142
