scope,path,symbol,line,source_sha256,actual_status,estimator_owner,sharing_or_constraint
matched point/static absolute intervals,smart_building_conformal/src/matched_forecasting005.py,main,309,15f6b399b61e865f25b4245823e580dbd34a4af7f5dd18bb0e83a3ad74c0d815,available CLI: freeze/readiness/run/validate/resume,Persistence; selected XGBRegressor; AttentionLSTM,Both levels share one fitted point owner; these artifacts do not replace CQR/EnbPI owners
quantile and CQR owner,smart_building_conformal/src/conformal_cqr.py,fit_cqr,32,2396f49fcaff3aed4695c1895311e067b3ce4a8affe3ebcdf11a318bb597c91b,available Python function,MAPIE ConformalizedQuantileRegressor with three HistGradientBoostingRegressor quantile sub-estimators per level,Uncalibrated/CQR share the exact quantile owner and raw outputs
uncalibrated quantile bounds,smart_building_conformal/src/conformal_quantile.py,quantile_interval,49,ab422946f31bd03850c773bd59286ce6518ea049ad8dbffca08021828daa6b7c,available Python function,sub-estimators from the same CQR owner,No new predictor fit for uncalibrated ablation
recentred EnbPI owner,smart_building_conformal/src/interval_stream.py,IntervalEstimator,46,73cc4625cf44effb2321f51f191176da0194f69a3bcd5b7a7238336d5c288e55,available Python class; not a matched-method matrix CLI,"MAPIE TimeSeriesRegressor; XGBoost base, explicitly recorded RandomForest fallback",Current factory uses 60 trees and five 24-step block-bootstrap resamplings; do not substitute matched 400-tree owner or guess sub-fit counts
causal residual pool,smart_building_conformal/src/residuals.py,DelayedResidualPool,58,84a65ae790acae9540ecfd45e1f244638b03c75f211b2a59dd4c13ba24d4be2d,available Python class,same fitted predictor that emits the stream,Only target_time <= current origin is observable; isolate updates by original group/segment
DSCP calibrator,smart_building_conformal/src/conformal_dscp.py,fit_dscp,331,2a1fec9d81498f924de531100640ed51f88e1e17f06e052897285808ad1a423d,available Python function; joint-origin adapter required,Frozen amendment-005 matrix declares matched XGBoost predictions,Share learned direct-horizon XGBoost artifacts and DSCP calibration/assignment across levels when identities match; legacy StudyRunner uses CQR medians and is not this matrix
seasonal baseline,smart_building_conformal/src/baselines.py,seasonal_naive_prediction,21,a64612b282b236ad6d06a30f96c1fffaae3d947d6b7551ebea20507718d5c424,available Python function; versioned matched matrix adapter required,deterministic target at forecast target minus one daily period,No learned fits; five seed aliases per unique horizon/fold; inapplicable inside four-hour RICO runs
method-owned operational predictor,smart_building_conformal/src/operational004_stream.py,OwnedInterval,24,94ac8bf842ed278470d4eb5e16e02c4ded4333f7f774ccf1544c90079a9f4e15,available Python class,CQR/uncalibrated HistGBR; recentred EnbPI own base; persistence split,Share quantile owner and cache raw predictions by feature hash and fit identity
causal sensor/input replay,smart_building_conformal/src/operational004_stream.py,corrupted_features,94,94ac8bf842ed278470d4eb5e16e02c4ded4333f7f774ccf1544c90079a9f4e15,available Python function,same owner receives causal corrupted feature rows,Inject observed target/missingness before lags; within-segment forward fill; never clean future observations
method-preserving recalibration,smart_building_conformal/src/operational004_stream.py,replay,145,94ac8bf842ed278470d4eb5e16e02c4ded4333f7f774ccf1544c90079a9f4e15,available Python function,CQR nonconformity or signed EnbPI residuals; static methods retain owned bounds,"Issue bounds, compare matured reading to those issued bounds, then release score; hold updates with insufficient support"
operational nested selection,smart_building_conformal/src/operational004_metrics.py,select_pipeline,206,6ab23fa693e52e867b696b8965cd8e3c96147c330989c7dc64cd0253264eda73,available Python function,"both frozen inner folds, common candidate grid",Primary recall LCB >= .6 and workload UCB <= 1 per asset-day in each fold; unavailable bounds imply infeasibility and explicit abstention
operational evaluation engine,smart_building_conformal/src/operational004_engine.py,evaluate_unit,144,fcd77c9d8a79447b83e9a50278a5d04d341b52a048cfb1e1fe9c96a84d7b34c0,available Python function; full-grid authorized wrapper still required,OwnedInterval,Existing CLI uses reduced nine-candidate grid; full 264-candidate claim cannot reuse that label
bounded operational CLI,smart_building_conformal/src/operational004.py,run,28,c48e56b12c6015b8b2257520df7049e59528f1be3699a098740968b4398f0720,available CLI: dataset/fold/seed/out/config/execution-manifest/resume,reduced-grid operational engine,Existing code retains a hard 3 GiB launch check; next wrapper must explicitly carry current nonblocking launch policy without weakening epoch/disk floors
