priority,dataset,horizon,outer_fold,model_seed,models,argv,output,command_exists,prerequisite,learned_fit_invocations,scenario_low_model_seconds,scenario_high_model_seconds,estimate_basis,fit_n,original_priority,updated_low_model_seconds,updated_high_model_seconds,batch_order,new_authorization
11,pleia_energy,1,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f2_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f2_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,55.93856703201996,513.0129899572612,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",14858,12,31.92941241869999,639.7404026008685,1,1312510b8549ef9467ee63597cf3e634412044a9
12,pleia_energy,3,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f2_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f2_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,55.9272723960598,512.9094067717805,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",14855,13,31.922965505437364,639.6112317025105,2,1312510b8549ef9467ee63597cf3e634412044a9
13,pleia_energy,6,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f2_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f2_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,55.90844800279286,512.7367681293127,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",14850,14,31.912220649999654,639.3959468719139,3,1312510b8549ef9467ee63597cf3e634412044a9
58,rico,5,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""rico"", ""--horizon"", ""5"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/rico_h5_f2_s43_v1""]",outputs/matched_forecasting005/rico_h5_f2_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,48.68741074559713,446.5125848786715,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",12932,59,36.04163206243224,490.5002991000074,4,1312510b8549ef9467ee63597cf3e634412044a9
59,rico,15,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""rico"", ""--horizon"", ""15"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/rico_h15_f2_s43_v1""]",outputs/matched_forecasting005/rico_h15_f2_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,46.39083476703122,425.4506704976021,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",12322,60,34.34155507835524,467.36349253868633,5,1312510b8549ef9467ee63597cf3e634412044a9
60,rico,30,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""rico"", ""--horizon"", ""30"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/rico_h30_f2_s43_v1""]",outputs/matched_forecasting005/rico_h30_f2_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,42.94597079918237,393.857798925998,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",11407,61,31.791439602239752,432.6582826967047,6,1312510b8549ef9467ee63597cf3e634412044a9
61,rico,60,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""rico"", ""--horizon"", ""60"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/rico_h60_f2_s43_v1""]",outputs/matched_forecasting005/rico_h60_f2_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,36.05624286348466,330.67205578278976,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",9577,62,26.69120865000877,363.2478630127413,7,1312510b8549ef9467ee63597cf3e634412044a9
114,bdg2,1,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""bdg2"", ""--horizon"", ""1"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/bdg2_h1_f2_s43_v1""]",outputs/matched_forecasting005/bdg2_h1_f2_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,194.50869074857172,1783.8405648910984,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",51664,115,204.0720089751229,4618.704083399978,8,1312510b8549ef9467ee63597cf3e634412044a9
115,bdg2,3,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""bdg2"", ""--horizon"", ""3"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/bdg2_h3_f2_s43_v1""]",outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,194.39574438897012,1782.8047330362915,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",51634,116,203.95350943445135,4616.022116798437,9,1312510b8549ef9467ee63597cf3e634412044a9
116,bdg2,6,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""bdg2"", ""--horizon"", ""6"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/bdg2_h6_f2_s43_v1""]",outputs/matched_forecasting005/bdg2_h6_f2_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,194.20750045630083,1781.078346611614,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",51584,117,203.75601019999883,4611.552172462536,10,1312510b8549ef9467ee63597cf3e634412044a9
