role,candidate_id,family,severity,channel,n_events,n_detected,recall
inner0_selection,c0000_f5146f1247fa,random_missing,0.5,availability_only,34,34,1.0
inner0_selection,c0000_f5146f1247fa,random_missing,0.5,numerical_only,34,18,0.5294117647058824
inner0_selection,c0000_f5146f1247fa,random_missing,0.5,combined,34,33,0.9705882352941176
inner0_selection,c0000_f5146f1247fa,random_missing,1.0,availability_only,74,74,1.0
inner0_selection,c0000_f5146f1247fa,random_missing,1.0,numerical_only,74,28,0.3783783783783784
inner0_selection,c0000_f5146f1247fa,random_missing,1.0,combined,74,74,1.0
inner0_selection,c0000_f5146f1247fa,random_missing,2.0,availability_only,113,113,1.0
inner0_selection,c0000_f5146f1247fa,random_missing,2.0,numerical_only,113,52,0.46017699115044247
inner0_selection,c0000_f5146f1247fa,random_missing,2.0,combined,113,106,0.9380530973451328
inner0_selection,c0000_f5146f1247fa,block_missing,0.5,availability_only,129,129,1.0
inner0_selection,c0000_f5146f1247fa,block_missing,0.5,numerical_only,129,56,0.43410852713178294
inner0_selection,c0000_f5146f1247fa,block_missing,0.5,combined,129,123,0.9534883720930233
inner0_selection,c0000_f5146f1247fa,block_missing,1.0,availability_only,130,130,1.0
inner0_selection,c0000_f5146f1247fa,block_missing,1.0,numerical_only,130,69,0.5307692307692308
inner0_selection,c0000_f5146f1247fa,block_missing,1.0,combined,130,119,0.9153846153846154
inner0_selection,c0000_f5146f1247fa,block_missing,2.0,availability_only,130,130,1.0
inner0_selection,c0000_f5146f1247fa,block_missing,2.0,numerical_only,130,68,0.5230769230769231
inner0_selection,c0000_f5146f1247fa,block_missing,2.0,combined,130,114,0.8769230769230769
inner0_selection,c0000_f5146f1247fa,stuck,0.5,availability_only,126,0,0.0
inner0_selection,c0000_f5146f1247fa,stuck,0.5,numerical_only,126,63,0.5
inner0_selection,c0000_f5146f1247fa,stuck,0.5,combined,126,63,0.5
inner0_selection,c0000_f5146f1247fa,stuck,1.0,availability_only,129,0,0.0
inner0_selection,c0000_f5146f1247fa,stuck,1.0,numerical_only,129,71,0.5503875968992248
inner0_selection,c0000_f5146f1247fa,stuck,1.0,combined,129,71,0.5503875968992248
inner0_selection,c0000_f5146f1247fa,stuck,2.0,availability_only,128,0,0.0
inner0_selection,c0000_f5146f1247fa,stuck,2.0,numerical_only,128,69,0.5390625
inner0_selection,c0000_f5146f1247fa,stuck,2.0,combined,128,69,0.5390625
inner0_selection,c0000_f5146f1247fa,dropout,0.5,availability_only,130,0,0.0
inner0_selection,c0000_f5146f1247fa,dropout,0.5,numerical_only,130,123,0.9461538461538461
inner0_selection,c0000_f5146f1247fa,dropout,0.5,combined,130,123,0.9461538461538461
inner0_selection,c0000_f5146f1247fa,dropout,1.0,availability_only,130,0,0.0
inner0_selection,c0000_f5146f1247fa,dropout,1.0,numerical_only,130,125,0.9615384615384616
inner0_selection,c0000_f5146f1247fa,dropout,1.0,combined,130,125,0.9615384615384616
inner0_selection,c0000_f5146f1247fa,dropout,2.0,availability_only,130,0,0.0
inner0_selection,c0000_f5146f1247fa,dropout,2.0,numerical_only,130,121,0.9307692307692308
inner0_selection,c0000_f5146f1247fa,dropout,2.0,combined,130,121,0.9307692307692308
inner0_selection,c0000_f5146f1247fa,bias,0.5,availability_only,130,0,0.0
inner0_selection,c0000_f5146f1247fa,bias,0.5,numerical_only,130,84,0.6461538461538462
inner0_selection,c0000_f5146f1247fa,bias,0.5,combined,130,84,0.6461538461538462
inner0_selection,c0000_f5146f1247fa,bias,1.0,availability_only,130,0,0.0
inner0_selection,c0000_f5146f1247fa,bias,1.0,numerical_only,130,109,0.8384615384615385
inner0_selection,c0000_f5146f1247fa,bias,1.0,combined,130,109,0.8384615384615385
inner0_selection,c0000_f5146f1247fa,bias,2.0,availability_only,130,0,0.0
inner0_selection,c0000_f5146f1247fa,bias,2.0,numerical_only,130,120,0.9230769230769231
inner0_selection,c0000_f5146f1247fa,bias,2.0,combined,130,120,0.9230769230769231
inner0_selection,c0000_f5146f1247fa,level_shift,0.5,availability_only,130,0,0.0
inner0_selection,c0000_f5146f1247fa,level_shift,0.5,numerical_only,130,74,0.5692307692307692
inner0_selection,c0000_f5146f1247fa,level_shift,0.5,combined,130,74,0.5692307692307692
inner0_selection,c0000_f5146f1247fa,level_shift,1.0,availability_only,130,0,0.0
inner0_selection,c0000_f5146f1247fa,level_shift,1.0,numerical_only,130,104,0.8
inner0_selection,c0000_f5146f1247fa,level_shift,1.0,combined,130,104,0.8
inner0_selection,c0000_f5146f1247fa,level_shift,2.0,availability_only,130,0,0.0
