role,family,severity,requested,effective,distinct_effective_onsets,placed,null,rejected
inner0_selection,random_missing,0.5,127,34,34,127,93,0
inner0_selection,random_missing,1.0,127,74,74,127,53,0
inner0_selection,random_missing,2.0,128,113,112,128,15,0
inner0_selection,block_missing,0.5,129,129,129,129,0,0
inner0_selection,block_missing,1.0,130,130,130,130,0,0
inner0_selection,block_missing,2.0,130,130,130,130,0,0
inner0_selection,stuck,0.5,130,126,126,130,4,0
inner0_selection,stuck,1.0,130,129,129,130,1,0
inner0_selection,stuck,2.0,130,128,127,130,2,0
inner0_selection,dropout,0.5,130,130,130,130,0,0
inner0_selection,dropout,1.0,130,130,130,130,0,0
inner0_selection,dropout,2.0,130,130,130,130,0,0
inner0_selection,bias,0.5,130,130,130,130,0,0
inner0_selection,bias,1.0,130,130,130,130,0,0
inner0_selection,bias,2.0,130,130,129,130,0,0
inner0_selection,level_shift,0.5,130,130,129,130,0,0
inner0_selection,level_shift,1.0,130,130,130,130,0,0
inner0_selection,level_shift,2.0,130,130,130,130,0,0
inner0_selection,drift,0.5,129,129,129,129,0,0
inner0_selection,drift,1.0,128,128,127,128,0,0
inner0_selection,drift,2.0,127,127,126,127,0,0
inner1_selection,random_missing,0.5,127,52,52,127,75,0
inner1_selection,random_missing,1.0,127,77,77,127,50,0
inner1_selection,random_missing,2.0,128,115,115,128,13,0
inner1_selection,block_missing,0.5,129,129,129,129,0,0
inner1_selection,block_missing,1.0,130,130,130,130,0,0
inner1_selection,block_missing,2.0,130,130,130,130,0,0
inner1_selection,stuck,0.5,130,123,122,130,7,0
inner1_selection,stuck,1.0,130,116,116,130,14,0
inner1_selection,stuck,2.0,130,123,123,130,7,0
inner1_selection,dropout,0.5,130,129,127,130,1,0
inner1_selection,dropout,1.0,130,130,129,130,0,0
inner1_selection,dropout,2.0,130,130,129,130,0,0
inner1_selection,bias,0.5,130,130,129,130,0,0
inner1_selection,bias,1.0,130,130,130,130,0,0
inner1_selection,bias,2.0,130,130,130,130,0,0
inner1_selection,level_shift,0.5,130,130,130,130,0,0
inner1_selection,level_shift,1.0,130,130,129,130,0,0
inner1_selection,level_shift,2.0,130,130,130,130,0,0
inner1_selection,drift,0.5,129,129,129,129,0,0
inner1_selection,drift,1.0,128,128,126,128,0,0
inner1_selection,drift,2.0,127,127,127,127,0,0
outer_test,random_missing,0.5,171,50,50,171,121,0
outer_test,random_missing,1.0,172,101,100,172,71,0
outer_test,random_missing,2.0,173,149,149,173,24,0
outer_test,block_missing,0.5,174,174,174,174,0,0
outer_test,block_missing,1.0,175,175,174,175,0,0
outer_test,block_missing,2.0,174,174,173,174,0,0
outer_test,stuck,0.5,173,138,138,173,35,0
outer_test,stuck,1.0,172,145,143,172,27,0
outer_test,stuck,2.0,171,149,149,171,22,0
outer_test,dropout,0.5,170,153,153,170,17,0
outer_test,dropout,1.0,170,155,154,170,15,0
outer_test,dropout,2.0,170,155,155,170,15,0
outer_test,bias,0.5,170,170,169,170,0,0
outer_test,bias,1.0,170,170,169,170,0,0
outer_test,bias,2.0,170,170,170,170,0,0
outer_test,level_shift,0.5,170,170,170,170,0,0
outer_test,level_shift,1.0,170,170,170,170,0,0
outer_test,level_shift,2.0,170,170,170,170,0,0
outer_test,drift,0.5,170,170,170,170,0,0
outer_test,drift,1.0,170,170,169,170,0,0
outer_test,drift,2.0,170,170,170,170,0,0
