role,n,groups,asset_days,membership_hash
B0,12993,10,541.375,e32025d1f813a23bd5a3f65d364792cdd1302f7dc869fe267814fa4020e9e11b
B1,13000,10,541.6666666666666,5da29272de9d3258e696890f1a9791f0aef54e27624c5b89b7e41640d6be9080
B2,13002,10,541.75,cfbbb96274848492bc67f25cda94e22b46867e153931ebab623f74c3a2964a46
B3,13030,10,542.9166666666666,95d894618d8d4cb034698f8ae030d7ad3fdb70f5fccd6bdbd30c15fba8b7edb9
final_fit,52025,10,2167.708333333333,9f903bec795fbc1476782459c86fa0f5c32e5148ba2343ffb76718c5ffd9c8a1
final_calibration,17380,10,724.1666666666666,9deadd433dd2ff9fd34586440acc213c7efa1e9bf748170691c57da79dea632d
outer_test,34732,10,1447.1666666666665,79df218d2df3e287c25a68b9e3aca3ca32ce8bf16303a06805f299c4c8b2111b
inner0_train,12993,10,541.375,e32025d1f813a23bd5a3f65d364792cdd1302f7dc869fe267814fa4020e9e11b
inner0_calibration,13000,10,541.6666666666666,5da29272de9d3258e696890f1a9791f0aef54e27624c5b89b7e41640d6be9080
inner0_selection,13002,10,541.75,cfbbb96274848492bc67f25cda94e22b46867e153931ebab623f74c3a2964a46
inner1_train,25993,10,1083.0416666666665,8b4ab26d566949ed736084f94f17f41c77067a476176e17f431a1deb64a7ce15
inner1_calibration,13002,10,541.75,cfbbb96274848492bc67f25cda94e22b46867e153931ebab623f74c3a2964a46
inner1_selection,13030,10,542.9166666666666,95d894618d8d4cb034698f8ae030d7ad3fdb70f5fccd6bdbd30c15fba8b7edb9
