dataset,target,partition,event_id,event_type,severity,magnitude_sd,injected_magnitude,scale_used,start_index,end_index,duration_steps,start_time,end_time,group_id,seed
pleia,B-room11-V2,calibration_rule_block,0,bias_negative,2.0sd,2.0,-8.939442220415836,4.469721110207918,16,33,18,2021-09-10 20:10:00,2021-09-10 23:00:00,,92
pleia,B-room11-V2,calibration_rule_block,1,level_shift,0.5sd,0.5,2.234860555103959,4.469721110207918,62,73,12,2021-09-11 03:50:00,2021-09-11 05:40:00,,92
pleia,B-room11-V2,calibration_rule_block,2,bias_negative,1.0sd,1.0,-4.469721110207918,4.469721110207918,158,175,18,2021-09-11 19:50:00,2021-09-11 22:40:00,,92
pleia,B-room11-V2,calibration_rule_block,3,bias_positive,0.5sd,0.5,2.234860555103959,4.469721110207918,310,327,18,2021-09-12 21:10:00,2021-09-13 00:00:00,,92
pleia,B-room11-V2,calibration_rule_block,4,level_shift,1.0sd,1.0,4.469721110207918,4.469721110207918,615,626,12,2021-09-15 00:00:00,2021-09-15 01:50:00,,92
pleia,B-room11-V2,calibration_rule_block,5,level_shift,2.0sd,2.0,8.939442220415836,4.469721110207918,813,824,12,2021-09-16 09:00:00,2021-09-16 10:50:00,,92
pleia,B-room11-V2,calibration_rule_block,6,dropout,dropout,0.0,0.0,4.469721110207918,872,883,12,2021-09-16 18:50:00,2021-09-16 20:40:00,,92
pleia,B-room11-V2,calibration_rule_block,7,bias_negative,2.0sd,2.0,-8.939442220415836,4.469721110207918,1014,1031,18,2021-09-17 18:30:00,2021-09-17 21:20:00,,92
pleia,B-room11-V2,calibration_rule_block,8,level_shift,1.0sd,1.0,4.469721110207918,4.469721110207918,1105,1116,12,2021-09-18 09:40:00,2021-09-18 11:30:00,,92
pleia,B-room11-V2,calibration_rule_block,9,dropout,dropout,0.0,0.0,4.469721110207918,1314,1325,12,2021-09-19 20:30:00,2021-09-19 22:20:00,,92
pleia,B-room11-V2,calibration_rule_block,10,bias_positive,1.0sd,1.0,4.469721110207918,4.469721110207918,1344,1361,18,2021-09-20 01:30:00,2021-09-20 04:20:00,,92
pleia,B-room11-V2,calibration_rule_block,11,bias_negative,0.5sd,0.5,-2.234860555103959,4.469721110207918,1411,1428,18,2021-09-20 12:40:00,2021-09-20 15:30:00,,92
pleia,B-room11-V2,calibration_rule_block,12,bias_positive,1.0sd,1.0,4.469721110207918,4.469721110207918,1625,1642,18,2021-09-22 00:20:00,2021-09-22 03:10:00,,92
pleia,B-room11-V2,calibration_rule_block,13,drift,1.0sd,1.0,-4.469721110207918,4.469721110207918,1704,1739,36,2021-09-22 13:30:00,2021-09-22 19:20:00,,92
pleia,B-room11-V2,calibration_rule_block,14,spike,4.0sd,4.0,-17.878884440831673,4.469721110207918,1815,1815,1,2021-09-23 08:00:00,2021-09-23 08:00:00,,92
pleia,B-room11-V2,calibration_rule_block,15,drift,2.0sd,2.0,8.939442220415836,4.469721110207918,1844,1879,36,2021-09-23 12:50:00,2021-09-23 18:40:00,,92
pleia,B-room11-V2,calibration_rule_block,16,bias_negative,0.5sd,0.5,-2.234860555103959,4.469721110207918,1973,1990,18,2021-09-24 10:20:00,2021-09-24 13:10:00,,92
pleia,B-room11-V2,calibration_rule_block,17,level_shift,0.5sd,0.5,2.234860555103959,4.469721110207918,2031,2042,12,2021-09-24 20:00:00,2021-09-24 21:50:00,,92
pleia,B-room11-V2,calibration_rule_block,18,drift,1.0sd,1.0,4.469721110207918,4.469721110207918,2337,2372,36,2021-09-26 23:00:00,2021-09-27 04:50:00,,92
pleia,B-room11-V2,calibration_rule_block,19,spike,4.0sd,4.0,-17.878884440831673,4.469721110207918,2427,2427,1,2021-09-27 14:00:00,2021-09-27 14:00:00,,92
pleia,B-room11-V2,calibration_rule_block,20,bias_negative,1.0sd,1.0,-4.469721110207918,4.469721110207918,2542,2559,18,2021-09-28 09:10:00,2021-09-28 12:00:00,,92
pleia,B-room11-V2,calibration_rule_block,21,stuck,stuck,0.0,0.0,4.469721110207918,2745,2762,18,2021-09-29 19:00:00,2021-09-29 21:50:00,,92
pleia,B-room11-V2,calibration_rule_block,22,bias_positive,2.0sd,2.0,8.939442220415836,4.469721110207918,2790,2807,18,2021-09-30 02:30:00,2021-09-30 05:20:00,,92
pleia,B-room11-V2,calibration_rule_block,23,drift,2.0sd,2.0,8.939442220415836,4.469721110207918,3074,3109,36,2021-10-02 01:50:00,2021-10-02 07:40:00,,92
pleia,B-room11-V2,calibration_rule_block,24,level_shift,2.0sd,2.0,8.939442220415836,4.469721110207918,3212,3223,12,2021-10-03 00:50:00,2021-10-03 02:40:00,,92
pleia,B-room11-V2,calibration_rule_block,25,bias_positive,2.0sd,2.0,8.939442220415836,4.469721110207918,3447,3464,18,2021-10-04 16:00:00,2021-10-04 18:50:00,,92
pleia,B-room11-V2,calibration_rule_block,26,stuck,stuck,0.0,0.0,4.469721110207918,3600,3617,18,2021-10-05 17:30:00,2021-10-05 20:20:00,,92
pleia,B-room11-V2,calibration_rule_block,27,bias_positive,0.5sd,0.5,2.234860555103959,4.469721110207918,3858,3875,18,2021-10-07 12:30:00,2021-10-07 15:20:00,,92
pleia,B-room11-V2,test,0,spike,4.0sd,4.0,17.878884440831673,4.469721110207918,164,164,1,2021-10-09 22:40:00,2021-10-09 22:40:00,,142
pleia,B-room11-V2,test,1,level_shift,0.5sd,0.5,2.234860555103959,4.469721110207918,204,215,12,2021-10-10 05:20:00,2021-10-10 07:10:00,,142
pleia,B-room11-V2,test,2,spike,4.0sd,4.0,-17.878884440831673,4.469721110207918,231,231,1,2021-10-10 09:50:00,2021-10-10 09:50:00,,142
pleia,B-room11-V2,test,3,drift,2.0sd,2.0,-8.939442220415836,4.469721110207918,798,833,36,2021-10-14 08:20:00,2021-10-14 14:10:00,,142
pleia,B-room11-V2,test,4,bias_negative,2.0sd,2.0,-8.939442220415836,4.469721110207918,915,932,18,2021-10-15 03:50:00,2021-10-15 06:40:00,,142
pleia,B-room11-V2,test,5,bias_positive,0.5sd,0.5,2.234860555103959,4.469721110207918,1089,1106,18,2021-10-16 08:50:00,2021-10-16 11:40:00,,142
pleia,B-room11-V2,test,6,bias_negative,1.0sd,1.0,-4.469721110207918,4.469721110207918,1628,1645,18,2021-10-20 02:40:00,2021-10-20 05:30:00,,142
pleia,B-room11-V2,test,7,level_shift,1.0sd,1.0,4.469721110207918,4.469721110207918,2094,2105,12,2021-10-23 08:20:00,2021-10-23 10:10:00,,142
pleia,B-room11-V2,test,8,stuck,stuck,0.0,0.0,4.469721110207918,2256,2273,18,2021-10-24 11:20:00,2021-10-24 14:10:00,,142
pleia,B-room11-V2,test,9,bias_negative,2.0sd,2.0,-8.939442220415836,4.469721110207918,2303,2320,18,2021-10-24 19:10:00,2021-10-24 22:00:00,,142
pleia,B-room11-V2,test,10,level_shift,0.5sd,0.5,2.234860555103959,4.469721110207918,2565,2576,12,2021-10-26 14:50:00,2021-10-26 16:40:00,,142
pleia,B-room11-V2,test,11,dropout,dropout,0.0,0.0,4.469721110207918,3176,3187,12,2021-10-30 20:40:00,2021-10-30 22:30:00,,142
pleia,B-room11-V2,test,12,stuck,stuck,0.0,0.0,4.469721110207918,3304,3321,18,2021-10-31 18:00:00,2021-10-31 20:50:00,,142
pleia,B-room11-V2,test,13,level_shift,2.0sd,2.0,8.939442220415836,4.469721110207918,3330,3341,12,2021-10-31 22:20:00,2021-11-01 00:10:00,,142
pleia,B-room11-V2,test,14,level_shift,1.0sd,1.0,4.469721110207918,4.469721110207918,3529,3540,12,2021-11-02 07:30:00,2021-11-02 09:20:00,,142
pleia,B-room11-V2,test,15,bias_positive,2.0sd,2.0,8.939442220415836,4.469721110207918,4471,4488,18,2021-11-08 20:30:00,2021-11-08 23:20:00,,142
pleia,B-room11-V2,test,16,bias_negative,0.5sd,0.5,-2.234860555103959,4.469721110207918,4542,4559,18,2021-11-09 08:20:00,2021-11-09 11:10:00,,142
pleia,B-room11-V2,test,17,level_shift,2.0sd,2.0,8.939442220415836,4.469721110207918,4613,4624,12,2021-11-09 20:10:00,2021-11-09 22:00:00,,142
pleia,B-room11-V2,test,18,bias_positive,0.5sd,0.5,2.234860555103959,4.469721110207918,5328,5345,18,2021-11-14 19:20:00,2021-11-14 22:10:00,,142
pleia,B-room11-V2,test,19,drift,1.0sd,1.0,-4.469721110207918,4.469721110207918,5574,5609,36,2021-11-16 12:20:00,2021-11-16 18:10:00,,142
pleia,B-room11-V2,test,20,drift,1.0sd,1.0,-4.469721110207918,4.469721110207918,6087,6122,36,2021-11-20 01:50:00,2021-11-20 07:40:00,,142
pleia,B-room11-V2,test,21,dropout,dropout,0.0,0.0,4.469721110207918,6308,6319,12,2021-11-21 14:40:00,2021-11-21 16:30:00,,142
pleia,B-room11-V2,test,22,bias_negative,0.5sd,0.5,-2.234860555103959,4.469721110207918,6534,6551,18,2021-11-23 04:20:00,2021-11-23 07:10:00,,142
pleia,B-room11-V2,test,23,bias_positive,1.0sd,1.0,4.469721110207918,4.469721110207918,6593,6610,18,2021-11-23 14:10:00,2021-11-23 17:00:00,,142
pleia,B-room11-V2,test,24,bias_negative,1.0sd,1.0,-4.469721110207918,4.469721110207918,7769,7786,18,2021-12-01 18:10:00,2021-12-01 21:00:00,,142
pleia,B-room11-V2,test,25,drift,2.0sd,2.0,-8.939442220415836,4.469721110207918,8130,8165,36,2021-12-04 06:20:00,2021-12-04 12:10:00,,142
pleia,B-room11-V2,test,26,bias_positive,2.0sd,2.0,8.939442220415836,4.469721110207918,9159,9176,18,2021-12-11 09:50:00,2021-12-11 12:40:00,,142
pleia,B-room11-V2,test,27,bias_positive,1.0sd,1.0,4.469721110207918,4.469721110207918,9687,9704,18,2021-12-15 01:50:00,2021-12-15 04:40:00,,142
