dataset,outer_fold,role,context_id,resampling_unit,complete_unit
pleia,0,inner0_selection,b34e2b28d5408aaf0965,None:segment:0:week0,True
pleia,0,inner0_selection,bc01ec4ca9123cc16bdc,None:segment:0:week0,True
pleia,0,inner0_selection,67a643b22b77f63cf757,None:segment:0:week0,True
pleia,0,inner0_selection,9d58db7401a7834e80a9,None:segment:0:week0,True
pleia,0,inner0_selection,d11a864bd0bc5102ded6,None:segment:0:week0,True
pleia,0,inner0_selection,37d208f3b082de018723,None:segment:0:week0,True
pleia,0,inner0_selection,d0104064bd20e563047c,None:segment:0:week0,True
pleia,0,inner0_selection,2a76de7de7569434c69f,None:segment:0:week1,True
pleia,0,inner0_selection,2ffbbc50251fb3d6c71c,None:segment:0:week1,True
pleia,0,inner0_selection,9f9635677f0aff2f90aa,None:segment:0:week1,True
pleia,0,inner0_selection,a71672c291754971d1c9,None:segment:0:week1,True
pleia,0,inner0_selection,1dfd54815940b3af3d26,None:segment:0:week1,True
pleia,0,inner0_selection,138a428e6826f724ba55,None:segment:0:week1,True
pleia,0,inner0_selection,504d106cc30bcdd65687,None:segment:0:week1,True
pleia,0,inner0_selection,2b9d69bda8271ec84d74,None:segment:0:week2,True
pleia,0,inner0_selection,bd475027ae69169ad6b9,None:segment:0:week2,True
pleia,0,inner0_selection,906180fd539acfde8f9c,None:segment:0:week2,True
pleia,0,inner0_selection,fbc0beca2e263fb83673,None:segment:0:week2,True
pleia,0,inner0_selection,690a77084eb773510dfb,None:segment:0:week2,True
pleia,0,inner0_selection,51dab6420c54b53bd616,None:segment:0:week2,True
pleia,0,inner0_selection,c08ed88842e24e8e3be7,None:segment:0:week2,True
pleia,0,inner0_selection,cb29a9dfd98580f7581c,None:segment:0:week3,True
pleia,0,inner0_selection,1d3cb0a9c0dd9fd11a5d,None:segment:0:week3,True
pleia,0,inner0_selection,798a9242e039b62cf77a,None:segment:0:week3,True
pleia,0,inner0_selection,85bdb210f8ce6406261e,None:segment:0:week3,True
pleia,0,inner0_selection,d840307063d9e7320168,None:segment:0:week3,True
pleia,0,inner0_selection,d96ed3b6d3a2c1f47ce9,None:segment:0:week3,True
pleia,0,inner0_selection,b7ecbb58a4057b454c0a,None:segment:0:week3,True
pleia,0,inner0_selection,e2f33f87e0e79704e72e,None:segment:0:week4,True
pleia,0,inner0_selection,949d4836f255e26a55d4,None:segment:0:week4,True
pleia,0,inner0_selection,8ab6292344f450de8d0a,None:segment:0:week4,True
pleia,0,inner0_selection,2f7ce68489eccf4affa8,None:segment:0:week4,True
pleia,0,inner0_selection,b2715dfdc256a176ecf2,None:segment:0:week4,True
pleia,0,inner0_selection,eca1b3b78ef026eb4635,None:segment:0:week4,True
pleia,0,inner0_selection,6f43d0b0b2f81c9c64ad,None:segment:0:week4,True
pleia,0,inner0_selection,db60bd0f6fb70358b1ef,None:segment:0:week5,True
pleia,0,inner0_selection,3f8486a26344b62e0af8,None:segment:0:week5,True
pleia,0,inner0_selection,5beaab2f25bd7a19de63,None:segment:0:week5,True
pleia,0,inner0_selection,1e02e5f8d3522a8dd0b9,None:segment:0:week5,True
pleia,0,inner0_selection,22cd4633779731a41aa6,None:segment:0:week5,True
pleia,0,inner0_selection,da38547b45157f074aeb,None:segment:0:week5,True
pleia,0,inner0_selection,149cbdba4d390bf02db0,None:segment:0:week5,True
pleia,0,inner0_selection,680cbb1b3c48f96d62c3,None:segment:0:week6,True
pleia,0,inner0_selection,0556c8e2a262a9dd1c75,None:segment:0:week6,True
pleia,0,inner0_selection,4bbe871d6e1272ceb007,None:segment:0:week6,True
pleia,0,inner0_selection,0bf785ecbd988679d34e,None:segment:0:week6,True
pleia,0,inner0_selection,8f5a6c906d37e42efba0,None:segment:0:week6,True
pleia,0,inner0_selection,3be2f3986ff73094c14f,None:segment:0:week6,True
pleia,0,inner0_selection,2208de2b59ebd4489b16,None:segment:0:week6,True
pleia,0,inner0_selection,817b3ef5a63f0bc4fe86,None:segment:0:week7,False
pleia,0,inner0_selection,3556116d0ff08b80d161,None:segment:0:week7,False
pleia,0,inner1_selection,d23a85cc6b2cec3eaf0e,None:segment:0:week0,True
pleia,0,inner1_selection,62cea58d015e9a91b228,None:segment:0:week0,True
pleia,0,inner1_selection,84070a30cf5117417915,None:segment:0:week0,True
pleia,0,inner1_selection,5b092c31f639149b85ee,None:segment:0:week0,True
pleia,0,inner1_selection,37d6e7dc2a076fde8709,None:segment:0:week0,True
pleia,0,inner1_selection,b7e1308ac2e702141e95,None:segment:0:week0,True
pleia,0,inner1_selection,44f07e6f746c7f331d8e,None:segment:0:week0,True
pleia,0,inner1_selection,e63fdd53027154d3b9a3,None:segment:0:week1,True
pleia,0,inner1_selection,c78565c57a5b4a534fbb,None:segment:0:week1,True
