dataset,model,status,point_cells,tuning_fits,final_fits
bdg2,attention_lstm,required_new,45,180,45
bdg2,persistence,required_new,45,0,0
bdg2,seasonal_naive,required_new,45,0,0
bdg2,xgboost,required_new,45,180,45
pleia,attention_lstm,completed_reusable,3,12,3
pleia,attention_lstm,required_new,42,168,42
pleia,persistence,completed_reusable,3,0,0
pleia,persistence,required_new,42,0,0
pleia,seasonal_naive,required_new,45,0,0
pleia,xgboost,completed_reusable,3,12,3
pleia,xgboost,required_new,42,168,42
pleia_energy,attention_lstm,required_new,45,180,45
pleia_energy,persistence,required_new,45,0,0
pleia_energy,seasonal_naive,required_new,45,0,0
pleia_energy,xgboost,required_new,45,180,45
rico,attention_lstm,required_new,60,240,60
rico,persistence,required_new,60,0,0
rico,seasonal_naive,inapplicable,60,0,0
rico,xgboost,required_new,60,240,60
