outer_fold,role,n,groups,asset_days,origin_min,origin_max,target_min,target_max,membership_hash
2,B0,12993,10,541.375,2016-01-07 23:00:00,2016-03-02 03:00:00,2016-01-08 00:00:00,2016-03-02 04:00:00,e32025d1f813a23bd5a3f65d364792cdd1302f7dc869fe267814fa4020e9e11b
2,B1,13000,10,541.6666666666666,2016-03-02 05:00:00,2016-04-25 10:00:00,2016-03-02 06:00:00,2016-04-25 11:00:00,5da29272de9d3258e696890f1a9791f0aef54e27624c5b89b7e41640d6be9080
2,B2,13002,10,541.75,2016-04-25 12:00:00,2016-06-18 16:00:00,2016-04-25 13:00:00,2016-06-18 17:00:00,cfbbb96274848492bc67f25cda94e22b46867e153931ebab623f74c3a2964a46
2,B3,13030,10,542.9166666666666,2016-06-18 18:00:00,2016-08-12 00:00:00,2016-06-18 19:00:00,2016-08-12 01:00:00,95d894618d8d4cb034698f8ae030d7ad3fdb70f5fccd6bdbd30c15fba8b7edb9
2,final_fit,52025,10,2167.7083333333335,2016-01-07 23:00:00,2016-08-12 00:00:00,2016-01-08 00:00:00,2016-08-12 01:00:00,9f903bec795fbc1476782459c86fa0f5c32e5148ba2343ffb76718c5ffd9c8a1
2,final_calibration,17380,10,724.1666666666666,2016-08-12 02:00:00,2016-10-23 11:00:00,2016-08-12 03:00:00,2016-10-23 12:00:00,9deadd433dd2ff9fd34586440acc213c7efa1e9bf748170691c57da79dea632d
2,outer_test,34732,10,1447.1666666666667,2016-10-23 13:00:00,2017-03-17 07:00:00,2016-10-23 14:00:00,2017-03-17 08:00:00,79df218d2df3e287c25a68b9e3aca3ca32ce8bf16303a06805f299c4c8b2111b
2,inner0_train,12993,10,541.375,2016-01-07 23:00:00,2016-03-02 03:00:00,2016-01-08 00:00:00,2016-03-02 04:00:00,e32025d1f813a23bd5a3f65d364792cdd1302f7dc869fe267814fa4020e9e11b
2,inner0_calibration,13000,10,541.6666666666666,2016-03-02 05:00:00,2016-04-25 10:00:00,2016-03-02 06:00:00,2016-04-25 11:00:00,5da29272de9d3258e696890f1a9791f0aef54e27624c5b89b7e41640d6be9080
2,inner0_selection,13002,10,541.75,2016-04-25 12:00:00,2016-06-18 16:00:00,2016-04-25 13:00:00,2016-06-18 17:00:00,cfbbb96274848492bc67f25cda94e22b46867e153931ebab623f74c3a2964a46
2,inner1_train,25993,10,1083.0416666666667,2016-01-07 23:00:00,2016-04-25 10:00:00,2016-01-08 00:00:00,2016-04-25 11:00:00,8b4ab26d566949ed736084f94f17f41c77067a476176e17f431a1deb64a7ce15
2,inner1_calibration,13002,10,541.75,2016-04-25 12:00:00,2016-06-18 16:00:00,2016-04-25 13:00:00,2016-06-18 17:00:00,cfbbb96274848492bc67f25cda94e22b46867e153931ebab623f74c3a2964a46
