outer_fold,left,right,n_left,n_right,left_origin_min,left_origin_max,left_target_max,right_origin_min,right_origin_max,right_target_min,right_target_max,target_overlap_count,row_overlap_count,shared_groups,run_intersections,left_membership_sha256,right_membership_sha256
2,inner0_train,inner0_calibration,12993,13000,2016-01-07 23:00:00,2016-03-02 03:00:00,2016-03-02 04:00:00,2016-03-02 05:00:00,2016-04-25 10:00:00,2016-03-02 06:00:00,2016-04-25 11:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,e32025d1f813a23bd5a3f65d364792cdd1302f7dc869fe267814fa4020e9e11b,5da29272de9d3258e696890f1a9791f0aef54e27624c5b89b7e41640d6be9080
2,inner0_calibration,inner0_selection,13000,13002,2016-03-02 05:00:00,2016-04-25 10:00:00,2016-04-25 11:00:00,2016-04-25 12:00:00,2016-06-18 16:00:00,2016-04-25 13:00:00,2016-06-18 17:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,5da29272de9d3258e696890f1a9791f0aef54e27624c5b89b7e41640d6be9080,cfbbb96274848492bc67f25cda94e22b46867e153931ebab623f74c3a2964a46
2,inner1_train,inner1_calibration,25993,13002,2016-01-07 23:00:00,2016-04-25 10:00:00,2016-04-25 11:00:00,2016-04-25 12:00:00,2016-06-18 16:00:00,2016-04-25 13:00:00,2016-06-18 17:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,8b4ab26d566949ed736084f94f17f41c77067a476176e17f431a1deb64a7ce15,cfbbb96274848492bc67f25cda94e22b46867e153931ebab623f74c3a2964a46
2,inner1_calibration,inner1_selection,13002,13030,2016-04-25 12:00:00,2016-06-18 16:00:00,2016-06-18 17:00:00,2016-06-18 18:00:00,2016-08-12 00:00:00,2016-06-18 19:00:00,2016-08-12 01:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,cfbbb96274848492bc67f25cda94e22b46867e153931ebab623f74c3a2964a46,95d894618d8d4cb034698f8ae030d7ad3fdb70f5fccd6bdbd30c15fba8b7edb9
2,final_fit,final_calibration,52025,17380,2016-01-07 23:00:00,2016-08-12 00:00:00,2016-08-12 01:00:00,2016-08-12 02:00:00,2016-10-23 11:00:00,2016-08-12 03:00:00,2016-10-23 12:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,9f903bec795fbc1476782459c86fa0f5c32e5148ba2343ffb76718c5ffd9c8a1,9deadd433dd2ff9fd34586440acc213c7efa1e9bf748170691c57da79dea632d
2,final_calibration,outer_test,17380,34732,2016-08-12 02:00:00,2016-10-23 11:00:00,2016-10-23 12:00:00,2016-10-23 13:00:00,2017-03-17 07:00:00,2016-10-23 14:00:00,2017-03-17 08:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,9deadd433dd2ff9fd34586440acc213c7efa1e9bf748170691c57da79dea632d,79df218d2df3e287c25a68b9e3aca3ca32ce8bf16303a06805f299c4c8b2111b
1,inner0_train,inner0_calibration,19493,19522,2016-01-07 23:00:00,2016-03-29 07:00:00,2016-03-29 08:00:00,2016-03-29 09:00:00,2016-06-18 17:00:00,2016-03-29 10:00:00,2016-06-18 18:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,6b39a734a6d30dacae7d4ba38ae1ae66af959b9901a9bad286996af3578b7535,5dcea04d04d62538fa411b78a46d8f2be78d345331f5abbffa485d6ec81b9a6a
1,inner0_calibration,inner0_selection,19522,19530,2016-03-29 09:00:00,2016-06-18 17:00:00,2016-06-18 18:00:00,2016-06-18 19:00:00,2016-09-08 03:00:00,2016-06-18 20:00:00,2016-09-08 04:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,5dcea04d04d62538fa411b78a46d8f2be78d345331f5abbffa485d6ec81b9a6a,c50e50efc2f353881804edb8bed92565f16b88c61a00f01740a4b31049d0cf2d
1,inner1_train,inner1_calibration,39015,19530,2016-01-07 23:00:00,2016-06-18 17:00:00,2016-06-18 18:00:00,2016-06-18 19:00:00,2016-09-08 03:00:00,2016-06-18 20:00:00,2016-09-08 04:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,d0d9278e975a8a10b072ca63e6244fb0ee4e726b24b38a80900fbd78c7f98435,c50e50efc2f353881804edb8bed92565f16b88c61a00f01740a4b31049d0cf2d
1,inner1_calibration,inner1_selection,19530,19544,2016-06-18 19:00:00,2016-09-08 03:00:00,2016-09-08 04:00:00,2016-09-08 05:00:00,2016-11-28 15:00:00,2016-09-08 06:00:00,2016-11-28 16:00:00,0,0,Eagle_assembly_Benny;Eagle_assembly_Ian;Fox_education_Henrietta;Hog_assembly_Colette;Hog_assembly_Dona;Lamb_assembly_Bertie;Lamb_assembly_Cesar;Moose_education_Ricardo;Mouse_health_Estela;Mouse_health_Justin,0,c50e50efc2f353881804edb8bed92565f16b88c61a00f01740a4b31049d0cf2d,00f3fea8b698522edbba92983340452c7da0081a8f1c1b5c5aeea6863252a9e6
